stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,5.75,0,0.82,0,0,0,3.28,0,0,0,0
 36-46,0,0,1.61,0,0,0,0,0,0,0,2.42,0.81,0,3.22,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0.57,0.57,0,0.57,0,0,0,0,0,5.74,0,0,1.72,0,0,0,0.57,0,0.57,0,0.57,0,0
 60-70,0,0,1.96,0,0.98,0,0,0,0,0,7.85,0,0,0,0.98,0,0,0,0,0,0,1.96,0,0.98
 72-82,0,0.98,0.98,0.98,1.96,0,0,0,0,0,6.87,0.98,0,1.96,0,0,0.98,0,0,0,0,1.96,0,0
 84-94,0,2.12,1.06,0,2.12,0,0,0,0,1.06,5.31,0,1.06,0,0,0,0,1.06,0,0,0,3.19,0,0
 96-106,0,1.09,1.09,0,0,1.09,0,0,0,1.09,6.56,2.19,0,0,0,0,0,0,0,0,0,3.28,1.09,1.09
108-118,0,0,1.53,0,1.53,0,0.77,0.77,0.77,1.53,4.6,0,0,0,0,0,0,0,0,0,1.53,0.77,0,0
120,0,0,3.92,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0
