stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,spinal_cord
 14-21,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
 24-34,0.82,0,0,0,0,0,0,0,0.82,0,0,0,0,3.28,0.82,0,0,1.64,0,0
 36-46,2.42,0,0,0,0.81,0,0,0,0,0,0.81,0,0,6.45,0,0,0,1.61,0,0
 48-58,2.3,0,0,2.3,0,0,0.57,0,0,0,0.57,0,0,9.18,0.57,0.57,0,0.57,0,0
 60-70,0.98,0,0,4.91,0,0,2.94,0,0,0,2.94,0,0,5.89,0,0,0,0,0,0.98
 72-82,4.91,0,0,5.89,0,0,0.98,0,0,0.98,1.96,0,0,13.74,0,0,0,0.98,0,1.96
 84-94,10.62,2.12,0,7.43,0,1.06,2.12,0,0,0,1.06,1.06,0,3.19,1.06,0,0,1.06,0,1.06
 96-106,15.3,0,1.09,4.37,0,0,0,0,0,1.09,4.37,0,0,4.37,1.09,1.09,0,4.37,0,1.09
108-118,8.43,0,0,7.66,0,0,0,1.53,0,0,0.77,0,0,6.13,0,0,0.77,0.77,0,0
120,21.56,0,0,1.96,1.96,0,0,0,0,1.96,1.96,0,1.96,15.68,0,0,0,1.96,0,0
