stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,527.12,6707.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,0,0,0,0,0,0,0,0,0
  5-6,723.3,8317.91,0,12.26,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,245.19,24.52,0,0,104.2,0,104.2,0,0,0,0,0,0,0,0,0
  7-9,186.64,147.21,0,283.9,0,2.63,499.46,0,0,0,0,0,173.5,0,0,0,0,0,0,0,0,0,0,0,4255.89,191.9,0,0,1548.31,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,3.15,75.53,0,125.88,0,25.18,377.64,0,0,0,0,0,53.5,0,0,0,0,0,0,0,0,0,0,0,2357.08,166.79,0,0,988.15,0,6.29,9.44,9.44,116.44,0,15.73,3.15,0,0,0
 14-21,0,2,1,6,173,68,137,0,0,0,16,5,5,8,0,5,0,0,4,3,87,0,0,102,935,102,1,4,43,0,15,1,231,9,7,311,330,0,3,1
 24-34,0,0,0,1.64,43.51,9.85,93.58,0,6.57,3.28,18.88,2.46,0.82,1.64,2.46,0.82,2.46,0.82,0.82,1.64,100.97,0.82,0,56.64,446.55,22.98,2.46,4.1,0.82,0.82,22.16,0,0,0,0,31.19,130.52,0,13.13,2.46
 36-46,0,0,0,0,8.06,1.61,41.89,0,3.22,8.06,12.09,0,0,2.42,0.81,0,0,0,0.81,0.81,70.09,0,0,40.28,135.35,6.45,0,1.61,0,0,11.28,0,0,0,0,0,40.28,0,2.42,0
 48-58,0.57,0,0,0,2.87,1.15,37.87,0,2.3,10.9,26.97,0,0,0.57,0.57,0,0.57,0.57,0.57,0.57,78.61,0,1.15,17.21,47.05,4.59,0,0.57,0,0,8.03,0.57,0,0,0.57,0,20.66,0.57,2.87,0.57
 60-70,0,0,0,0,4.91,2.94,26.5,0,1.96,17.67,25.52,0,0,0.98,0,0,0.98,0,0.98,0,71.65,0,0.98,8.83,28.46,1.96,0,0,0,1.96,6.87,0,0.98,0.98,0,0,13.74,0,1.96,0
 72-82,0,0,0.98,0,4.91,5.89,19.63,0,0.98,18.65,35.34,1.96,0,0,1.96,0,1.96,0,1.96,0.98,110.93,0.98,1.96,17.67,22.58,0,0,0,0,0,3.93,0,0.98,1.96,0,0,7.85,1.96,2.94,0
 84-94,0,0,0,0,3.19,9.56,19.12,0,0,11.68,10.62,0,1.06,0,2.12,0,0,0,0,1.06,58.41,1.06,0,5.31,5.31,3.19,0,0,0,0,5.31,0,0,0,0,0,2.12,1.06,1.06,0
 96-106,0,0,0,0,0,6.56,6.56,1.09,0,4.37,13.11,0,0,1.09,3.28,0,1.09,0,0,0,27.32,0,0,2.19,7.65,2.19,0,5.46,0,2.19,6.56,1.09,0,0,0,0,3.28,0,1.09,0
108-118,0,0,0,0.77,0,7.66,1.53,0,1.53,2.3,7.66,0,0,0,2.3,0,0,0,0,0,25.28,0,0,4.6,7.66,1.53,0,2.3,0,0,6.13,1.53,0,0.77,0,0,0.77,0.77,3.06,0
120,0,0,0,0,1.96,13.72,0,0,0,1.96,5.88,0,0,0,1.96,0,0,0,0,0,25.48,0,0,5.88,5.88,1.96,0,1.96,0,0,3.92,1.96,0,1.96,0,0,1.96,0,0,0
