stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,hatching.gland,immune,ionocyte,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,12.59,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1,1,3,2,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0.82,8.21,0.82,0,4.1,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,16.11,0,0,0,0,0,1.61,0,0.81
 48-58,0,0,0,0,1.15,0,0,0,0,0,1.15,10.33,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,0,5.89,0,0,0,0.98,0,0,18.65,0,0,0,0,0,2.94,0.98,0
 72-82,0,0,0,0,3.93,0,0.98,0,0,0,1.96,19.63,0.98,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,9.56,0,0,0,1.06,0,0,7.43,0,0,0,0,0,1.06,2.12,0
 96-106,0,0,1.09,0,1.09,1.09,1.09,0,0,0,2.19,4.37,0,0,4.37,0,0,0,0,0
108-118,0,0,0,0.77,4.6,0,1.53,0,0,0.77,0,9.96,0,0,3.83,0,0,0,0,0
120,0,0,0,0,3.92,0,1.96,0,0,0,1.96,21.56,1.96,0,1.96,0,0,0,1.96,0
