stage,epidermis,erythrocytes,eye,fast.muscle,glial,heart,immune,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,somites,spinal.cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0
 24-34,0,1.64,0,0,0,0,0,0,0,3.28,1.64,4.93,0,0,0,0,0.82,0,4.93,0
 36-46,0,0,0,4.83,0,0.81,0,0,0,0.81,2.42,1.61,0,0,0,0,0,0,1.61,0
 48-58,0,0,3.44,6.31,0.57,0,0,0,0,2.3,1.72,4.59,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,2.94,0.98,0.98,0,0,0,2.94,3.93,0,0,0,0,0,0,0,0,0
 72-82,0,2.94,0.98,0.98,0,0,0,0,0,12.76,0,5.89,0,5.89,0,0.98,0,1.96,0,0
 84-94,1.06,2.12,1.06,0,0,0,0,0,0,5.31,0,6.37,0,4.25,0,0,0,0,0,0
 96-106,0,2.19,2.19,0,0,0,1.09,0,0,2.19,0,2.19,0,4.37,0,0,0,0,0,0
108-118,0,3.06,1.53,0.77,0,0.77,0,0.77,0.77,4.6,0,3.06,0,6.89,0,0,0,0,0,0.77
120,0,0,0,1.96,1.96,0,0,0,0,3.92,0,7.84,0,3.92,1.96,0,0,0,0,0
