stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,34.62,0,0,0,9.44,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,12,0,0,0,0,2,0,0,1,2,0,6,0,0,0,0,0,0,0,6,3,0,0,0,4,1,0,0,2,8,0,0,0
 24-34,0,0,0,9.03,0,0,2.46,0,3.28,0,0,0,0,0,27.09,0,0,0,0.82,3.28,0,0,27.91,0,3.28,0,0,4.93,0,0.82,0,0,19.7,0,0,0.82
 36-46,0,0.81,0,0,0,0,1.61,0,0,0.81,0,0,0,0.81,4.83,0.81,0,0,0.81,2.42,0.81,0,43.51,0.81,12.09,0,0,7.25,0,0,0,0,19.34,0,0,0.81
 48-58,0,0,0,1.15,0,0,13.77,0,0.57,0.57,2.3,0,0,0.57,5.16,2.3,0.57,0,0.57,4.02,0,0,72.87,0,5.16,0,0,5.16,0,0,0,0,21.23,0,0.57,0
 60-70,0,0,0,2.94,0,0,88.34,0,0.98,1.96,2.94,0,0,0.98,1.96,1.96,0.98,0,0.98,0.98,0,0,87.36,0,7.85,0,0,6.87,0,0,0,0,29.45,0.98,0.98,0
 72-82,0,0,0,4.91,0.98,0,96.2,0,0.98,0,6.87,0.98,0,1.96,4.91,0,0.98,0,3.93,0.98,0,0,85.4,0,11.78,2.94,0,8.83,0,0,0,0,17.67,2.94,0,0
 84-94,0,0,0,21.24,0,0,80.71,0,0,1.06,4.25,3.19,0,2.12,7.43,6.37,4.25,0,0,4.25,0,2.12,42.48,0,11.68,3.19,0,28.68,0,2.12,1.06,0,11.68,4.25,0,0
 96-106,0,0,0,19.67,0,0,37.16,0,0,0,6.56,7.65,0,2.19,9.84,2.19,3.28,0,6.56,4.37,0,0,48.09,0,14.21,5.46,0,12.02,0,0,0,0,7.65,2.19,1.09,1.09
108-118,0,0.77,0,14.55,2.3,0.77,30.64,0.77,0.77,0,7.66,4.6,0,3.06,7.66,3.83,2.3,0.77,5.36,3.06,0,0,66.64,0,3.83,3.83,0,8.43,0,0.77,0.77,0,2.3,2.3,2.3,0
120,0,0,0,17.64,3.92,0,23.52,0,0,1.96,3.92,1.96,0,3.92,1.96,0,0,0,1.96,1.96,0,0,37.24,1.96,11.76,1.96,0,27.44,0,0,0,0,5.88,3.92,0,0
