stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,2,1,1,0,0,0,0,6,0,0,0,2,1,0,0,0,6,0,0,0,1,0,10,1,4,0,0,0,0
 24-34,0,0,5.75,0,0,0.82,0,0,0,0.82,6.57,0,0,0,5.75,0,0,0,0,4.93,0,0,0,0,0,9.85,0,2.46,0,0,0,0
 36-46,0,0,2.42,0,0,0,0,0,0,0,1.61,0,0.81,0,0,1.61,0,0,0,4.03,0,0,0,0,0,3.22,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0.57,0,0,0,0.57,3.44,0,0,0,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.96,0,0,0,0.98,1.96,0,0.98,0,0,0.98,0,0,1.96,1.96,0,0,0,0.98,0,1.96,0,0,0,0,0,0
 72-82,0,1.96,0,0,0,4.91,0,0,0,0,35.34,0,1.96,0,0,8.83,0,2.94,0.98,11.78,0,0,0,0,0,13.74,0,0.98,0,0,0.98,0.98
 84-94,0,1.06,0,0,0,2.12,0,0,0,1.06,44.61,0,4.25,0,0,7.43,0,2.12,2.12,3.19,0,0,0,1.06,0,18.05,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,2.19,0,0,0,0,52.46,1.09,4.37,0,1.09,5.46,0,3.28,0,12.02,0,0,0,1.09,0,16.39,0,1.09,0,1.09,0,0
108-118,0,0,0.77,1.53,0,0,0.77,0,1.53,0,81.96,0.77,3.06,0.77,1.53,1.53,0.77,0,0,6.89,0.77,0,0,0.77,0,19.15,0,0,0.77,1.53,0.77,0
120,0,0,3.92,3.92,3.92,3.92,0,1.96,0,0,139.14,1.96,1.96,0,3.92,7.84,0,1.96,0,5.88,0,0,1.96,1.96,0,25.48,0,0,0,0,0,0
