stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,12.26,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,1,0,2,0,0,1,5,0,0,0,0,0
 24-34,0,0,0.82,0,0,30.37,0,0,0.82,0,0,0,0.82,0,0,0,1.64,1.64,0,0,61.56,0,0,9.85,0,1.64,0,9.85,0,0,0,0,0
 36-46,0,0,0,0,0,186.92,0,0,0,0,0,0,0.81,0,0,0,1.61,0.81,0,0,136.96,0.81,0.81,16.92,0,0.81,0,22.56,0,0,0.81,0,0
 48-58,0,0,0,0,0,209.44,0.57,0,2.87,0,0,0,0.57,0,0,0,1.72,2.3,0.57,1.72,169.27,0,0.57,29.84,0,0.57,0,28.12,0,0,0,0,0
 60-70,0,0,0.98,0,0,261.08,0,0.98,8.83,0,0,0,3.93,0,0,0,0.98,6.87,0,0.98,223.79,0,0.98,40.24,0,0,0,21.59,0,0,0,0,0
 72-82,0,0,2.94,0.98,0,146.27,0,0,8.83,1.96,0,0.98,3.93,0,0,1.96,8.83,16.69,0.98,1.96,185.53,0,1.96,48.1,0,3.93,0,13.74,0,0.98,0,0.98,0
 84-94,0,0,4.25,1.06,0,116.82,0,0,5.31,3.19,0,0,5.31,0,0,0,7.43,7.43,0,0,101.96,1.06,1.06,80.71,0,2.12,0,9.56,0,0,0,2.12,0
 96-106,0,0,4.37,0,0,110.38,0,1.09,8.74,7.65,0,0,6.56,1.09,1.09,1.09,4.37,8.74,0,1.09,92.89,0,2.19,83.06,1.09,3.28,0,3.28,0,1.09,0,4.37,0
108-118,0,0,6.89,0,0.77,104.17,0,0,6.13,9.19,0,0,8.43,1.53,0,0,6.89,5.36,0,1.53,100.34,0.77,0,62.04,0,1.53,0,5.36,0.77,0.77,0,1.53,0.77
120,1.96,0,3.92,0,0,90.15,0,0,7.84,13.72,0,0,7.84,0,1.96,0,7.84,7.84,0,0,137.18,1.96,0,66.63,0,1.96,0,7.84,0,0,0,0,0
