stage,endocrine.pancreas,epidermis,eye,glial,mesenchyme,muscle,neural,otic,somites,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,1,0,0,0,2,5,0,1,3,0,0
 24-34,0,0,0.82,0,0.82,0,8.21,0,0,4.1,0,0.82
 36-46,0,0,0.81,1.61,1.61,0,5.64,0.81,0,2.42,0,0
 48-58,0,0,1.72,0,1.15,0,0.57,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0.77,0.77,0.77,0.77,0,0,0.77,0,0,0,0.77,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0
