stage,axial,blastomeres,endoderm,eye,fin.mesenchyme,glial,gut,hatching.gland,mesenchyme,neural,paraxial.mesoderm,periderm,pgc,spinal.cord
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,6.13,6.13,6.13,0,0
  7-9,2.63,0,2.63,18.4,0,0,0,2.63,0,99.89,42.06,0,2.63,0
 10-12,0,0,3.15,3.15,0,0,0,6.29,0,69.23,47.2,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,1.64,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
