stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,26.36,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,0,26.29,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,134.06,2.63,0,21.03,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,72.38,0,0,15.73,0,0,0,0,12.59,0,0,0,0,0
 14-21,0,0,0,0,7,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,18,0,1,0,0,2,0,4,0,3,3,0,0,0
 24-34,0,0,0,0,1.64,0,1.64,0.82,0,0,0.82,0,0,0,0.82,1.64,0,1.64,0,0,0.82,9.03,0,0,0,0,0.82,0,0,0,0,2.46,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0.57,0,1.72,0.57,0,0,0,0,0,0,0,0,0.57,2.3,0.57,0,0.57,5.16,0,0,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,4.91,0,0.98,0,2.94,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,1.96,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,3.19,0,0,0,0,1.06,0,0,0,0,0,0,0,3.19,0,0,0,2.12,0,0,0,0,3.19,0,0,0,0,0,0,1.06,0
 96-106,0,0,1.09,0,3.28,0,1.09,1.09,0,1.09,0,0,1.09,1.09,0,0,0,7.65,0,0,0,3.28,0,2.19,0,0,3.28,0,0,0,0,0,1.09,2.19,0
108-118,0,0,0,0,4.6,0,0.77,0,0.77,0.77,0,0,0,0,0,0,0,1.53,0,0,0,3.83,0,0,0,0.77,2.3,0,0,0,0,0,0,1.53,0.77
120,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
