stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,1054.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,269.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,2.63,0,7.89,0,0,0,0,0,0,0,0,65.72,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,3.15,0,0,0,3.15,0,0,0,0,3.15,0,0,0,116.44,6.29,0,0,37.76,0,0,3.15,0,6.29,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,1,15,1,0,1,1,0,0,0,9,0,3,2,45,2,0,2,4,0,0,0,5,0,2,6,23,0,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,0,1.64,0.82,0.82,0,0,7.39,0.82,7.39,0.82,44.33,0.82,0,2.46,0,0,0.82,0,0,0,0,1.64,14.78,0,0,0,0,1.64
 36-46,0,0,0,0,0,0,0,0.81,2.42,0,0,0,1.61,0,3.22,1.61,19.34,0,0,0,0,0,0,0,0,0,0,0,5.64,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,3.44,1.15,0.57,0,0,2.3,0,3.44,0.57,8.03,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.96,0.98,1.96,0,0,2.94,0,1.96,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,7.85,0,0,0.98,0,2.94,2.94,49.08,0,0,0,0,3.93,0.98,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,4.25,0,0,2.12,0,4.25,2.12,115.76,0,1.06,1.06,0,3.19,0,9.56,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,7.65,0,0,0,0,2.19,2.19,281.95,0,0,5.46,0,5.46,0,24.04,0,1.09,0,0,0,2.19,0,0,0,0,0,0,0,0,2.19,0,0
108-118,0,0,2.3,0,0,0,1.53,4.6,2.3,388.34,0,0,6.13,0,3.06,0,38.3,0.77,0,0,0,0,0.77,0.77,0,0,0.77,0,0.77,0.77,1.53,0,0,0
120,0,0,7.84,0,0,0,0,3.92,1.96,286.13,1.96,0,3.92,0,1.96,0,47.03,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
