stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,47,0,0,0,0,0,1,0,0,1,20,0,0,0,0,0
 24-34,0,0.82,0.82,0,0,1.64,0,0.82,0,0.82,0,0,0,0,14.78,0,0,0,0,43.51,0,0,1.64,135.44,0.82,0.82,0,0,0.82,0,0.82,0,0.82,50.07,0,0,4.93,0,0
 36-46,0,0,0,0.81,0,3.22,0,0,0,3.22,0,0,0,0,0.81,0.81,0,0,0,53.17,0,0,3.22,270.7,0,3.22,0,0,0,0,0.81,0,0,47.53,0,0,1.61,0,0
 48-58,0,0,4.59,0,0,24.1,0,0,0.57,18.36,0,1.15,0,0,1.15,0.57,0,0,0,62.54,0,0,0,371.83,0.57,1.72,0.57,0,1.15,0,0,0.57,0,52.79,0,0.57,4.02,0,1.15
 60-70,0,0.98,1.96,0,0,61.84,0,0.98,0,57.91,0.98,0,0.98,0.98,0.98,0,0,0,0.98,71.65,0,0.98,1.96,839.2,0,4.91,0,0,0.98,0,0.98,0,0,113.86,0,1.96,3.93,2.94,0.98
 72-82,0,0.98,7.85,2.94,0,158.05,0,0.98,1.96,88.35,0,0,0.98,0,1.96,0,0.98,0,0.98,149.21,0,4.91,4.91,1057.25,0.98,3.93,2.94,0,2.94,0,0,0.98,0,83.44,0,3.93,20.61,7.85,0
 84-94,0,1.06,5.31,4.25,0,111.51,0,1.06,2.12,62.66,2.12,0,0,0,0,2.12,0,0,0,95.58,0,5.31,2.12,528.89,0,7.43,0,0,5.31,0,0,0,0,44.61,1.06,1.06,6.37,20.18,1.06
 96-106,0,0,12.02,4.37,1.09,110.38,0,1.09,0,55.74,2.19,0,0,2.19,1.09,1.09,1.09,0,0,103.82,0,3.28,1.09,519.1,1.09,0,0,0,7.65,0,1.09,0,0,24.04,2.19,3.28,10.93,14.21,0
108-118,0,0,12.26,0,0.77,83.49,1.53,0.77,0.77,64.34,2.3,0,0,0.77,2.3,2.3,0,0.77,1.53,95.75,0,2.3,0,646.47,0,3.83,0,0,0.77,0,0,0,0,13.79,0.77,1.53,6.13,16.85,0.77
120,0,1.96,19.6,1.96,0,113.67,1.96,3.92,0,58.79,3.92,1.96,3.92,7.84,1.96,0,0,1.96,0,99.95,1.96,3.92,7.84,1044.57,0,5.88,3.92,0,7.84,0,0,0,0,33.32,0,0,9.8,19.6,0
