stage,epidermis,eye,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,8,0,0
 24-34,0.82,0.82,0,4.93,0,0,0.82,0,22.98,0,1.64,0.82,0,0,0.82,0.82,12.31,0,0.82
 36-46,0.81,0.81,0,0,0,0,4.83,0.81,55.59,0,1.61,0,0,0,0,0,16.92,0,0
 48-58,0.57,0,0,0.57,0,0,4.02,0.57,33.28,0,1.72,0.57,0,0.57,0,0,7.46,0,0
 60-70,0.98,0.98,0.98,2.94,0,0.98,0.98,0.98,23.56,0,1.96,0,0,0,0,0,4.91,0,0
 72-82,0,3.93,0,0.98,0.98,0,7.85,0.98,23.56,0,1.96,0,0,0,0,0,1.96,0,0
 84-94,1.06,1.06,0,0,0,0,7.43,0,13.81,0,2.12,0,0,0,0,0,0,1.06,0
 96-106,0,5.46,0,2.19,0,0,4.37,1.09,13.11,0,3.28,0,0,0,2.19,0,2.19,0,0
108-118,0,1.53,0,2.3,0,0.77,1.53,0.77,19.15,0,2.3,0,0,0,0,0,1.53,0,0
120,1.96,0,0,0,0,0,1.96,0,15.68,0,1.96,0,0,0,0,0,3.92,0,0
