stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,194,0,0,0,0,0,0,0,0,6,15,0,0,0,0,0,7,0,0,2,3,0,0,1,0,0,3,5,0,2,0,0,26,0,0
 24-34,0,0,9.03,78.8,0,1.64,0,0.82,0,0,0,0.82,24.63,27.09,2.46,0,0,0.82,0,19.7,0,0,4.1,27.09,0.82,0,0,0,0.82,0,0.82,0,1.64,2.46,0,97.68,0,0
 36-46,0,0,8.06,11.28,0,4.03,0,0,0,1.61,0,0,22.56,21.75,0,0,0,0,0,2.42,0.81,0.81,0,23.36,0,0.81,0,0,0.81,0,4.83,0,0,1.61,0,57.2,0,0
 48-58,0,0,10.9,11.48,0,8.61,0,1.15,0,3.44,0,1.72,22.38,6.89,0,0,0,0,0.57,11.48,0,2.87,0.57,18.94,0,0,0,2.87,0,0,0.57,0.57,0,1.15,0,70.58,0,0
 60-70,0,0,4.91,18.65,0,7.85,0,0,0,0,0,0.98,14.72,9.82,4.91,0,0,0,0,9.82,0,0,0,20.61,0,0,0,1.96,0.98,0,0,0,0,1.96,0,76.56,0,0.98
 72-82,0,0,7.85,59.88,0,10.8,0,0.98,0,4.91,1.96,0,22.58,61.84,3.93,0,1.96,0,0,12.76,0,1.96,0,29.45,0,0,0,3.93,1.96,0,2.94,0.98,0,0.98,0,134.49,0,0
 84-94,0,0,24.43,36.11,0,9.56,0,2.12,1.06,2.12,3.19,0,10.62,57.35,6.37,0,0,1.06,0,11.68,1.06,4.25,1.06,20.18,0,0,4.25,4.25,2.12,0,2.12,0,0,0,0,124.26,2.12,0
 96-106,0,0,20.76,86.33,2.19,22.95,1.09,2.19,1.09,6.56,0,0,26.23,103.82,19.67,1.09,0,2.19,0,39.34,1.09,8.74,2.19,55.74,0,1.09,2.19,3.28,12.02,0,6.56,0,0,3.28,1.09,170.48,4.37,1.09
108-118,0,0,19.92,70.47,0,14.55,0,1.53,0.77,3.83,0,0,9.19,72,17.62,0,0.77,1.53,0.77,19.15,0,3.06,0.77,61.28,0,0,1.53,3.06,7.66,0,4.6,0,0,0.77,2.3,157.79,0.77,0
120,0,0,29.4,101.91,0,13.72,0,0,1.96,5.88,3.92,0,17.64,72.51,11.76,0,1.96,3.92,0,11.76,1.96,1.96,3.92,66.63,0,0,0,3.92,7.84,0,0,0,0,3.92,0,148.94,1.96,0
