stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,36.78,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0
 24-34,0,1.64,0,1.64,0,0,0,0.82,0,0,1.64,0,0,0.82,0.82,2.46,0.82,10.67,3.28,0,132.98,0,0,0.82,1.64,0,0,0
 36-46,0,2.42,0,2.42,0,2.42,0.81,0,0,0,0.81,0,0,0,0,3.22,1.61,4.83,0.81,0,160.33,0,0.81,0,1.61,0,1.61,0
 48-58,0,0.57,0,5.74,0,8.61,1.15,0.57,0,0,1.72,0.57,0,0,0.57,4.02,0.57,9.18,0,0,306.41,0,0,0,1.15,0,0,0
 60-70,0,0.98,0,2.94,0.98,11.78,0,0,0,0,0.98,0,0,0,1.96,7.85,0.98,14.72,0,0,333.72,0,0,0,1.96,0,0.98,0
 72-82,0,4.91,0,4.91,0,16.69,2.94,0,0,0,1.96,0,0,0,3.93,9.82,0,3.93,0,0,468.25,0,0,0,0,0,0,0
 84-94,0,15.93,1.06,2.12,0,57.35,1.06,2.12,1.06,0,1.06,0,1.06,0,1.06,6.37,0,13.81,0,2.12,1007.87,0,0,0,0,2.12,1.06,0
 96-106,0,38.25,0,7.65,0,78.68,4.37,3.28,0,2.19,10.93,0,3.28,0,6.56,17.49,1.09,20.76,0,1.09,1332.18,1.09,1.09,0,0,5.46,0,1.09
108-118,0,36,0.77,6.89,0,114.89,3.83,5.36,0,1.53,4.6,0,0.77,0,2.3,12.26,0.77,6.89,0,0,756.77,0,0,0,0,0.77,0,0
120,0,47.03,0,0,0,88.19,0,1.96,0,0,5.88,0,0,0,1.96,5.88,0,9.8,1.96,0,595.77,0,0,0,0,0,0,0
