stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,22.03,0,12.59,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,280.08,3.15,0,0,154.2,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,1,2,40,2,4,0,1,0,13,5,0,0,0,0,0,0,0,0,38,0,0,33,434,7,0,0,15,0,0,0,48,2,1,46,155,0,0,0,0,0
 24-34,0,0,0,22.98,0.82,5.75,1.64,2.46,0.82,14.78,1.64,0,2.46,0,0,0,0,0,0.82,50.07,0.82,0,22.98,714.14,1.64,0,0.82,0,0,2.46,0.82,0,1.64,1.64,16.42,144.47,0,0,3.28,0,0
 36-46,0,0,0,6.45,0,3.22,0,0.81,0,9.67,0,0,0,0,0.81,0,0,0,0,29.81,0.81,0,7.25,580.89,0.81,0,0,0,0,6.45,0,0,0,0.81,0,125.68,0,0,3.22,0,0
 48-58,0,0.57,0,2.87,0,9.75,1.15,1.72,1.15,20.08,0,0,0.57,0,1.72,0,0,0,2.3,26.97,1.15,0,5.74,305.84,0,0,0,0,0.57,5.74,0,0,1.15,0,0,114.76,0,0.57,1.72,0,3.44
 60-70,0,0,0,7.85,0,9.82,1.96,0,0.98,45.15,0.98,0,0,0.98,0,0.98,2.94,0.98,0,53.98,0.98,0.98,1.96,261.08,0,0,0,0,1.96,21.59,0,0,1.96,0.98,0,77.54,0,0,2.94,0,1.96
 72-82,0,0.98,0,12.76,0.98,27.49,0,0,0.98,90.31,1.96,0,1.96,0,3.93,3.93,3.93,0.98,0.98,106.02,1.96,0.98,1.96,261.12,0,0,0,0,0,13.74,0,0,0,0,0,46.14,0.98,1.96,9.82,0,8.83
 84-94,0,1.06,0,18.05,0,28.68,1.06,1.06,1.06,66.91,4.25,0,0,0,8.5,1.06,3.19,0,3.19,80.71,0,0,2.12,127.44,1.06,0,0,0,0,57.35,0,0,0,0,0,30.8,1.06,1.06,2.12,1.06,2.12
 96-106,0,1.09,0,31.69,0,16.39,0,7.65,0,65.57,2.19,0,0,0,13.11,2.19,4.37,1.09,2.19,84.15,1.09,0,1.09,102.73,1.09,0,1.09,0,0,26.23,0,0,1.09,0,0,17.49,0,1.09,7.65,1.09,9.84
108-118,0,2.3,0,24.51,0,13.79,0.77,3.83,0,65.11,3.06,0,0,1.53,7.66,2.3,3.83,0,3.06,55.15,2.3,2.3,4.6,121.02,2.3,1.53,1.53,0,0,17.62,0,0,2.3,0,0,3.83,0,0.77,3.06,0.77,6.13
120,0,0,0,15.68,0,9.8,1.96,3.92,0,31.36,1.96,0,1.96,0,5.88,1.96,3.92,1.96,0,37.24,0,1.96,5.88,80.35,1.96,1.96,1.96,0,0,5.88,0,0,1.96,0,0,13.72,0,0,0,1.96,0
