stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,2.46,0,0,0.82,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,3.22,0,0,0.81,0,0,0,0,0,0.81,0,13.7,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,1.72,8.61,0,0,0,0,0,0,0,0,1.72,0,4.59,0.57,0,0,0,0,0,0,0,1.15,0,0,0
 60-70,0,0.98,0.98,151.15,0,0,0,0,0,0,0,0,1.96,0.98,11.78,0,0,0,0,0,1.96,0,0,0.98,0,0,0
 72-82,0,1.96,11.78,576.24,0,0,3.93,0.98,0,0,0,0,5.89,1.96,14.72,0,1.96,1.96,0,0,0.98,0,0,0.98,0.98,0,0
 84-94,1.06,4.25,8.5,551.2,0,0,1.06,0,1.06,0,0,1.06,2.12,0,2.12,0,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,2.19,6.56,511.45,0,0,2.19,0,2.19,1.09,0,0,0,2.19,12.02,0,0,1.09,0,1.09,2.19,0,1.09,0,0,0,1.09
108-118,0,1.53,2.3,350.81,0,1.53,0.77,0.77,0,0,0,0,3.06,1.53,10.72,0,0,0,0,0.77,0.77,0,0,0,0,0.77,0
120,0,5.88,3.92,384.12,1.96,0,1.96,0,0,0,1.96,0,7.84,1.96,13.72,0,0,1.96,0,0,1.96,0,0,0,0,1.96,1.96
