stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,38,0,1,0,0,3,3,8,13,0,0,0
 24-34,0,0,0,0,2.46,0,1.64,0,0.82,0.82,0,0,0,0,0.82,0,2.46,4.1,64.03,0.82,1.64,0.82,0,6.57,0,1.64,14.78,0,3.28,0
 36-46,0,0,0,0,0,0,8.06,0.81,0,0,0,0,0,0,0,0,2.42,2.42,34.64,0,0.81,0.81,0,0,0,0,8.06,0,0,0
 48-58,0,0,0,0,0,0,8.03,0.57,0,2.87,0,0,0,0,0,0,4.59,0,21.23,0,1.15,0,0,2.3,0,0,5.16,0,0,0
 60-70,0,0,0,0,0.98,0,7.85,0.98,0,1.96,0,0,0,0.98,0,0,1.96,0,13.74,0,0,0,0,1.96,0,0,2.94,0,0,0.98
 72-82,0,0,0,0,0,0,5.89,0,0,1.96,0,0,3.93,0,0,0,3.93,0,12.76,0,0,0,0,0.98,0,0,0.98,0.98,0.98,0
 84-94,0,0,0,0,0,0,6.37,0,0,0,1.06,1.06,2.12,0,0,0,0,1.06,5.31,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,5.46,0,0,3.28,0,0,1.09,1.09,1.09,0,4.37,0,8.74,0,0,0,0,0,0,0,0,0,3.28,0
108-118,0,0,0,0,0.77,2.3,0,0,0,2.3,0,0,1.53,0.77,0,0.77,1.53,0.77,6.89,0,0,0,0,1.53,0,0,0,0,0,0
120,0,0,0,0,0,1.96,3.92,0,0,0,0,0,3.92,0,0,0,1.96,0,9.8,0,0,1.96,0,0,0,0,0,0,0,0
