stage,blastomeres,endocrine_pancreas,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0,1,3,0
 24-34,0,0.82,0,0,1.64,0,0.82,0,0,0,0,0,3.28,0,0,30.37,0.82,0,0,0,0,1.64,0
 36-46,0,0,0,0,5.64,0,0,0,0,0,0,0,13.7,0,0,65.26,0,0,0,0,0,3.22,0
 48-58,0,0,0,0,0.57,1.15,7.46,0,0,0,0,0,4.02,2.3,0.57,35,0,0,0,0,0,2.3,0
 60-70,0,0,0,0,2.94,1.96,28.46,0,0,0,5.89,0,1.96,2.94,0,22.58,0.98,0,0,0,0,4.91,0
 72-82,0,0,0.98,0,11.78,0,90.31,0.98,0,0.98,19.63,0,1.96,9.82,0,31.41,0.98,0,0,0,0,2.94,0
 84-94,0,0,0,0,6.37,0,42.48,0,0,1.06,8.5,1.06,1.06,7.43,0,12.74,2.12,0,0,0,0,3.19,0
 96-106,0,0,0,0,14.21,4.37,63.39,0,1.09,0,7.65,0,2.19,4.37,0,13.11,0,0,1.09,0,0,0,2.19
108-118,0,0.77,0,0.77,12.26,0,59.75,0.77,0,0.77,5.36,0,0.77,3.06,0,13.02,0,0,0,0,0,1.53,0.77
120,0,0,1.96,0,7.84,0,37.24,0,0,1.96,3.92,0,0,3.92,0,7.84,0,0,0,1.96,0,1.96,1.96
