stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,ionocyte,mesenchyme,mucous,neural,pronephros,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,13.14,0,0,0,0
 14-21,0,0,1,0,0,4,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,13.13,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,27.39,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,1.15,0,22.38,0,0,0.57,1.15,0,1.15,0,0.57
 60-70,0,0,0,0.98,0.98,50.06,0,0,0,0.98,0.98,1.96,0,0
 72-82,0,0.98,0.98,1.96,0,53.01,0,0,0,0,0,3.93,0,0
 84-94,0,0,0,2.12,0,80.71,0,2.12,0,4.25,0,2.12,0,0
 96-106,0,0,2.19,4.37,0,116.93,1.09,2.19,0,3.28,2.19,1.09,1.09,0
108-118,0,1.53,1.53,0,0,80.43,0,0.77,0,6.13,5.36,3.06,0,0
120,0,0,1.96,0,0,101.91,0,0,0,3.92,7.84,0,0,0
