stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,20,0,4,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0.82,5.75,0,0,0.82,0.82,0.82,0,1.64,5.75,0,1.64,0,0
 36-46,0,0,0,2.42,0,0,0.81,0,0,0,0,0,8.86,0,0,0,1.61,0,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0.57,0,1.72,0,0.57,0.57,0,0,0,0,0,43.61,0,0.57,1.15,6.31,0,0,0.57,0,0,0.57,0,1.15,0,1.72,0,0
 60-70,0,1.96,0,11.78,0,0,0,0,0,0.98,0,0.98,179.62,0,0.98,3.93,9.82,0,0.98,1.96,0,0,0,0,0.98,0.98,0,1.96,0.98
 72-82,0,0.98,0,28.47,0,2.94,3.93,0.98,0,0.98,0.98,0.98,530.1,0,0.98,7.85,21.6,0,3.93,2.94,0,0.98,0,0,0.98,9.82,4.91,4.91,0
 84-94,0,8.5,0,37.17,0,5.31,4.25,1.06,0,2.12,1.06,1.06,310.11,0,0,6.37,12.74,0,1.06,1.06,0,1.06,0,0,3.19,10.62,3.19,4.25,0
 96-106,0,2.19,0,24.04,0,1.09,6.56,0,0,0,0,0,315.83,0,1.09,4.37,10.93,1.09,2.19,1.09,0,1.09,0,0,0,8.74,4.37,9.84,0
108-118,0,3.83,0,20.68,0,3.06,3.06,0.77,0,0,1.53,0,281.11,0.77,2.3,3.83,14.55,0,3.83,0.77,0,0,0,0,1.53,3.06,3.06,3.06,0
120,0,0,0,9.8,1.96,0,1.96,1.96,1.96,0,0,0,137.18,0,0,0,13.72,0,1.96,0,0,0,0,0,1.96,3.92,0,0,0
