stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,0,1.64,0,0,36.94,0,0,0,0,0,0.82,0,1.64,12.31,0,13.13,0,0,0,0.82,3.28,13.13,0,0,0,0,0
 36-46,0,0,0,0,0.81,0.81,0,2.42,0.81,0,0,0.81,0,0,0,58.81,0,0,0,0,0.81,1.61,0,0,37.06,0,24.98,0,0,0,0.81,2.42,8.06,0,0,0.81,0,0.81
 48-58,0,0,0,0,0.57,0,0,4.59,0,0,0,1.72,10.33,4.02,0,55.66,1.15,0,0,0,1.15,5.16,0.57,0.57,26.97,0,21.23,0,0,0,0,1.72,3.44,0,0,1.15,0,1.15
 60-70,0,0,3.93,0,0.98,0,0,5.89,0,0,0,2.94,58.89,8.83,0.98,73.61,0.98,0.98,0,1.96,2.94,7.85,0,0,21.59,0,26.5,0,0,0,1.96,1.96,0.98,0.98,0.98,0.98,0,1.96
 72-82,0,0,32.39,0,4.91,0.98,0,22.58,0.98,0.98,1.96,11.78,192.41,4.91,0,89.33,0.98,0,0,1.96,8.83,11.78,0,0.98,104.06,0,61.84,1.96,0,0,2.94,0.98,3.93,3.93,0,1.96,0.98,0
 84-94,0,0,28.68,2.12,6.37,3.19,0,24.43,0,0,1.06,9.56,363.22,6.37,0,123.2,7.43,0,0,2.12,9.56,8.5,1.06,1.06,50.98,0,60.54,1.06,0,0,11.68,5.31,4.25,10.62,0,0,0,6.37
 96-106,0,0,41.53,8.74,14.21,8.74,0,43.71,1.09,1.09,1.09,9.84,536.59,0,0,151.91,6.56,1.09,0,7.65,22.95,16.39,2.19,3.28,163.93,0,104.91,4.37,0,0,16.39,0,2.19,26.23,2.19,14.21,3.28,3.28
108-118,0,0,20.68,8.43,12.26,3.83,1.53,24.51,1.53,3.83,0.77,4.6,639.58,0,0.77,109.53,5.36,0.77,0.77,8.43,26.81,10.72,1.53,3.06,172.34,0.77,72.77,1.53,0,2.3,8.43,3.06,0.77,31.4,1.53,3.06,2.3,5.36
120,1.96,0,27.44,3.92,9.8,7.84,0,27.44,0,0,0,3.92,429.19,0,0,160.7,0,1.96,1.96,7.84,15.68,9.8,1.96,5.88,123.47,3.92,29.4,1.96,0,0,1.96,3.92,0,11.76,1.96,1.96,0,1.96
