stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,9.44,0,0,15.73,0,0,0,3.15,0,0,0
 14-21,0,1,0,1,12,2,0,0,0,55,0,0,0,0,5,0,0,38,0,2,10,1,0,34,0,144,0,0,13
 24-34,0,0.82,0.82,0.82,0,3.28,0,0,0,59.1,0,0.82,0.82,0,5.75,0,0,52.53,0.82,20.52,9.85,0,0,25.45,3.28,125.59,0,0,22.98
 36-46,0,0.81,0,1.61,0,24.17,0,0.81,0,30.62,0,0,0.81,0,4.03,0,1.61,58.81,0,24.17,6.45,0,0,12.09,0,75.73,0,0,12.89
 48-58,0,1.15,0,0.57,0,40.74,0.57,0,0,35,0,0,1.72,0,2.87,0,0.57,36.15,0,20.66,3.44,0,0.57,2.3,0,62.54,0,0,4.59
 60-70,0,0.98,0,0,0,15.7,0,0,0.98,33.37,0,0,1.96,0.98,0,0,0,34.35,0,24.54,7.85,0,0,3.93,0,39.26,0.98,0,1.96
 72-82,0,2.94,0,1.96,0,11.78,0,0,0,53.99,0.98,0,2.94,0,8.83,0,0.98,42.21,0,38.28,8.83,0,0.98,2.94,0,34.36,0,0,6.87
 84-94,0,4.25,1.06,1.06,0,14.87,0,0,0,31.86,1.06,0,6.37,0,1.06,0,0,25.49,0,40.36,22.3,0,1.06,5.31,0,21.24,0,1.06,4.25
 96-106,0,6.56,0,2.19,1.09,16.39,0,0,0,22.95,2.19,0,6.56,0,2.19,0,0,33.88,0,48.09,18.58,0,1.09,8.74,0,13.11,0,1.09,3.28
108-118,0,5.36,0.77,0,0,9.19,0,0,0,24.51,0,0,7.66,0,5.36,0.77,0,32.94,0,34.47,13.02,0,0,3.06,0,15.32,0,0.77,6.89
120,0,1.96,1.96,3.92,1.96,7.84,0,0,0,5.88,1.96,0,7.84,0,0,0,0,37.24,0,17.64,13.72,0,0,5.88,0,7.84,0,0,3.92
