stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,immune,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,289.91,7221.51,0,0,0,0,0,0,0,0,0,0,0,0,289.91,0,0,0,0,0,0,0,0
  5-6,171.63,1814.37,0,0,0,0,12.26,0,0,0,0,49.04,0,6.13,36.78,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,15.77,0,7.89,0,5.26,0,0,0,0,94.63,2.63,23.66,0,7.89,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,3.15,0,0,0,0,0,0,34.62,0,0,0,12.59,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1,2,0,1,1,0,0,1
 24-34,0,0,0,0,0.82,0.82,0,0,0,0.82,0.82,4.1,0,0,0.82,0,0,0,0,0,2.46,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,1.06,1.06,0,1.06,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
