stage,blastomeres,epidermis,eye,glial,melanocytes,mesenchyme,neural,olfactory,otic,periderm,spinal_cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0.81,0,0.81,0,0
 48-58,0,0,0.57,0,0.57,0,3.44,0,0,0,0,0,0
 60-70,0,0,4.91,1.96,0,0,4.91,0,0,0,0,0,0.98
 72-82,0,0.98,5.89,0.98,0,0.98,6.87,0,4.91,0,0.98,0,0
 84-94,0,0,4.25,1.06,0,0,1.06,0,10.62,0,1.06,0,0
 96-106,0,1.09,8.74,1.09,0,0,1.09,0,22.95,0,0,0,0
108-118,0,0,3.06,1.53,0,0,0.77,0.77,13.02,0,0,0.77,0
120,0,0,9.8,3.92,0,1.96,3.92,0,17.64,0,0,0,0
