stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,4,0,0,1,0,0,1,1,0,1,3,0,0,0,0
 24-34,0,0,4.1,0.82,0,0.82,0,2.46,0,0,0,0.82,16.42,0.82,0,0,0.82,0.82,0,0,0,9.85,0,0.82,2.46,0,0.82,0.82,0,0,0,3.28,0,0,2.46,4.1
 36-46,0,0,0.81,0,0,1.61,0.81,0,0,0,0,0,29,0,0,2.42,3.22,2.42,0,0,0.81,25.78,0,0,2.42,0,0,0,0,0,0,3.22,0,0,0,2.42
 48-58,0,0,1.15,0,0,2.87,0,1.15,0,2.3,0,0.57,33.28,0,1.72,4.02,2.3,4.02,0,0,0.57,28.69,0,1.15,4.59,0,0,0,0.57,0.57,0,2.3,0,0,1.15,6.89
 60-70,0,0,2.94,0,0,9.82,0,1.96,0,2.94,0,0,33.37,0,23.56,7.85,5.89,9.82,0,0,0.98,25.52,0,2.94,9.82,0,0,0,0,0,0,0.98,0,0,0.98,3.93
 72-82,0,0,7.85,0,0,9.82,0,0.98,0,11.78,0.98,0,45.16,0,27.49,3.93,4.91,4.91,0,0.98,0,27.49,0,3.93,26.5,0,0,2.94,0.98,0,0,1.96,0,0.98,0,6.87
 84-94,0,1.06,9.56,1.06,0,6.37,0,0,1.06,7.43,3.19,0,55.23,0,24.43,5.31,11.68,8.5,0,2.12,1.06,16.99,1.06,11.68,22.3,0,0,6.37,0,0,0,3.19,0,0,1.06,15.93
 96-106,0,0,19.67,2.19,0,4.37,0,1.09,0,6.56,5.46,0,74.31,4.37,34.97,9.84,12.02,8.74,1.09,1.09,2.19,15.3,0,19.67,33.88,0,0,9.84,0,0,0,0,1.09,0,0,17.49
108-118,0,0,26.04,0.77,0.77,4.6,0,3.83,0,9.19,8.43,0,63.57,4.6,38.3,9.19,13.79,5.36,0,0.77,1.53,10.72,0.77,8.43,29.11,0,0,4.6,0,0,0,2.3,0,0.77,6.13,28.34
120,0,0,19.6,1.96,1.96,3.92,0,0,0,7.84,3.92,1.96,56.83,0,13.72,1.96,1.96,1.96,0,0,0,15.68,0,13.72,19.6,0,0,5.88,0,0,0,0,0,0,3.92,11.76
