stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,2.46,0,0,0,0,0,0,0,0.82,0.82,0,0.82,0,0
 36-46,0,0,0,0,0,1.61,0,0.81,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,3.44,0,0,0,0,0,0,1.15,0,0,0.57,0.57,0,0.57,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,64.78,0,1.96,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,383.83,0,0.98,0,0,0,0,0,0,0,9.82,0,1.96,0,0,0.98,0,0,0,0,0,1.96,0,0.98
 84-94,0,0,0,2.12,0,345.16,1.06,1.06,1.06,0,0,1.06,2.12,0,0,3.19,1.06,0,0,0,0,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,0,1.09,324.58,1.09,2.19,0,0,0,1.09,4.37,0,0,5.46,0,0,0,0,1.09,0,1.09,0,1.09,0,0,0,0
108-118,0,0.77,0,0.77,0,248.17,0,0,0,0,0,0,1.53,0.77,0,6.89,0,0,0.77,0,0,0,0,0,0.77,0,0,0,0
120,0,0,0,0,0,252.81,1.96,1.96,0,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0
