stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,3,0,2,11,1,0,0,0,1,0,1,5,0,1,0
 24-34,0,0.82,0,0,0,0.82,0,2.46,0,0,0,0,0,16.42,7.39,0,0,0,0,0,0,5.75,0,0,0
 36-46,0,0.81,0,1.61,0,0,0,2.42,0,0,2.42,0,0.81,21.75,5.64,0,0,0,0,0,0,13.7,0,0,0
 48-58,0,0.57,0,0.57,0,0,0,0.57,0,0,0.57,0.57,0,11.48,2.87,0,0,0.57,0,0,0,9.75,0,0,0
 60-70,0,0,0,0.98,0.98,0.98,0,1.96,0,0,0.98,0,0,20.61,0.98,0.98,0,0,0,0.98,0,6.87,0,0,0
 72-82,0,0,0,5.89,0,4.91,0,1.96,0,0,1.96,0.98,0,28.47,4.91,0,0,0,0,0.98,0,4.91,3.93,0.98,0
 84-94,0,0,1.06,3.19,0,20.18,0,5.31,0,0,1.06,0,0,12.74,8.5,0,0,1.06,0,0,0,3.19,7.43,1.06,0
 96-106,0,3.28,0,1.09,0,29.51,1.09,6.56,0,2.19,0,0,0,19.67,4.37,0,0,1.09,0,0,0,6.56,17.49,0,0
108-118,0,0.77,0,3.06,0.77,48.26,0,7.66,0.77,0,1.53,0.77,0,21.45,4.6,0,0,1.53,0,1.53,0,3.83,19.15,0,0.77
120,0,0,0,1.96,1.96,19.6,0,1.96,0,0,5.88,1.96,0,29.4,5.88,0,0,0,0,0,0,1.96,13.72,0,0
