stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,30,1,0,0,0,1,1,2,8,0,0,0
 24-34,4.1,1.64,24.63,0,2.46,0,0,0.82,0,0,0,4.93,0,0,4.93,123.95,0,1.64,1.64,1.64,0,0,0.82,27.09,0.82,0,0
 36-46,0.81,0.81,37.87,0.81,2.42,0,0,0.81,0,0,0,8.06,0,0.81,0.81,95.87,0,0.81,0,1.61,0,0,0,23.36,0.81,0,0
 48-58,0.57,0,53.36,0,2.87,0,0,0,0,0,0,10.33,0.57,0,0.57,39.59,0,0,0,0.57,0,0,0,6.31,0.57,0,0
 60-70,4.91,0,35.33,0,1.96,0,0,0.98,0.98,0,0.98,6.87,0,0,0,31.41,0,0,0.98,0,0,0,0,0,0.98,0,0
 72-82,0,0,20.61,0,4.91,0,0.98,0,0,0,0,4.91,0,0,1.96,13.74,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,2.12,0,19.12,0,5.31,0,0,0,1.06,0,0,6.37,0,1.06,0,11.68,0,0,0,1.06,0,0,0,0,0,1.06,1.06
 96-106,1.09,1.09,4.37,0,2.19,0,0,1.09,0,1.09,0,2.19,0,1.09,0,6.56,0,0,0,0,0,0,0,0,0,0,0
108-118,0.77,1.53,6.89,0.77,0,0.77,0,0,0.77,0,0,2.3,0,0,0,4.6,0,0,0,0,0,0,0,0,3.83,0,0
120,0,1.96,23.52,0,5.88,0,0,3.92,0,0,0,1.96,0,0,7.84,39.2,0,0,0,0,0,0,0,0,0,0,0
