stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,9,4,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,2,3,0,0,0,1,0,0,1,1,2,3,0,0,1,0,0
 24-34,0,0.82,0,3.28,0,0,0,0,3.28,0.82,0.82,0.82,1.64,4.93,0,0,0,0.82,6.57,0.82,0,1.64,9.03,0,0,0.82,0,0,2.46,0,0.82,0.82,6.57,0,0,5.75,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,0.81,0,0,0,3.22,0.81,0,0,0,14.5,0,0,3.22,8.86,0.81,0,0,0,0.81,2.42,0,0.81,0,1.61,0,0,8.86,0,0
 48-58,0,0,0,5.16,0,0,1.72,0,1.15,0.57,0.57,1.15,0.57,5.74,0.57,0,0.57,0,23.53,0.57,0.57,5.74,6.31,0.57,1.15,0,0,0,1.72,0,0,0,1.15,0,0,6.89,0,0
 60-70,0,0,0,9.82,0,0,0.98,0,2.94,0,7.85,10.8,0.98,6.87,0,0,0.98,3.93,38.28,0,0,3.93,6.87,0,0,0.98,0,0.98,7.85,0,1.96,0,0.98,0,0,9.82,0.98,0
 72-82,0,0.98,0,4.91,1.96,0,4.91,0,1.96,5.89,12.76,77.55,0,7.85,0,0,0,56.94,73.62,1.96,4.91,11.78,23.56,0,0.98,3.93,0,1.96,5.89,0,0.98,0,0.98,0,1.96,16.69,1.96,0.98
 84-94,0,0,0,13.81,2.12,0,5.31,0,3.19,1.06,3.19,150.81,0,18.05,1.06,1.06,1.06,206.04,31.86,1.06,3.19,5.31,15.93,0,7.43,3.19,0,0,10.62,0,5.31,0,0,0,3.19,6.37,3.19,2.12
 96-106,0,3.28,0,10.93,2.19,1.09,22.95,0,1.09,4.37,13.11,293.98,1.09,25.14,1.09,0,2.19,568.28,62.29,1.09,6.56,7.65,104.91,3.28,8.74,2.19,0,3.28,15.3,0,5.46,0,2.19,2.19,1.09,20.76,4.37,3.28
108-118,0,0.77,0,13.79,3.06,0.77,7.66,0.77,4.6,0.77,11.49,350.81,0.77,17.62,0.77,3.83,1.53,1161.97,45.96,0,1.53,5.36,90.38,2.3,4.6,0.77,0,0.77,11.49,0,14.55,0,0.77,2.3,0.77,16.09,3.06,2.3
120,0,0,1.96,21.56,1.96,0,11.76,0,1.96,1.96,9.8,201.86,0,11.76,0,0,0,558.54,31.36,3.92,1.96,5.88,58.79,1.96,7.84,0,0,3.92,7.84,0,1.96,0,0,0,1.96,5.88,1.96,0
