stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,26.36,830.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0
  5-6,30.65,459.72,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,18.39,0,0,0,0,0,0
  7-9,7.89,10.51,15.77,0,0,23.66,0,15.77,0,0,0,0,268.13,15.77,0,84.12,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,18.88,0,9.44,0,0,0,0,132.17,9.44,0,62.94,0,6.29,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,1,0,1,26,1,0,1,5,1,2,3,8,0,0
 24-34,0,0,0,0.82,0,4.1,0,0,0.82,2.46,0,0,34.48,0,0.82,0,0,0,0,0.82,5.75,0,0
 36-46,0,0,0,0,0.81,8.86,0,0,0,2.42,0,1.61,20.95,0,0,0,0,0,0.81,0,2.42,0,0.81
 48-58,0,0,0,0,0.57,13.77,0.57,0,0,1.15,0,0,4.59,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,11.78,0,0,0,0,0,0.98,2.94,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,0.98,0,0,4.91,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,2.12,0,0,0,0,1.06,0,3.19,0,0,0,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,3.06,0,0,0,1.53,0,0,0.77,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0,0,0,0
