stage,blastomeres,endoderm,epidermis,glial,immune,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,somites,taste
  3-4,13.18,0,0,0,0,0,0,0,0,79.07,0,0
  5-6,12.26,0,0,0,0,0,6.13,0,0,42.91,0,0
  7-9,0,5.26,0,0,0,0,0,0,5.26,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,6.29,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,3.44,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,7.85,0,0.98,0,0,0,0,0
 72-82,0,0,0.98,0,20.61,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,40.36,0,0,0,0,0,0,2.12
 96-106,0,0,1.09,1.09,34.97,1.09,0,1.09,0,0,0,1.09
108-118,0,0,0.77,0,26.04,0.77,0.77,0.77,0,0,0,0.77
120,0,0,0,0,43.12,0,0,0,0,0,0,0
