stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,4.83,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,7.46,0,0,0,0.57,0,0,0,0
 60-70,0,0.98,0,0,0,4.91,0,1.96,0,0,0,0,0,0,0.98,0,0,0,23.56,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,11.78,0.98,2.94,0.98,0,0,0.98,0,0,6.87,0,0,0.98,50.06,0.98,0,0.98,0,0.98,0,0,0
 84-94,0,1.06,0,1.06,1.06,5.31,0,0,0,0,0,0,0,0,3.19,0,0,0,25.49,0,0,1.06,1.06,0,3.19,0,0
 96-106,0,1.09,0,2.19,1.09,17.49,0,5.46,1.09,3.28,1.09,1.09,0,1.09,6.56,0,0,0,43.71,0,0,5.46,0,0,0,0,0
108-118,0,0,0,0.77,0.77,6.13,0,0,0.77,0.77,0,0,0.77,0,4.6,0.77,2.3,0,55.92,0,0,0.77,0,0,0.77,0.77,0.77
120,0,0,0,1.96,1.96,5.88,0,7.84,1.96,0,0,0,0,1.96,3.92,0,0,1.96,56.83,0,0,3.92,0,0,0,0,0
