stage,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord
 14-21,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0.82,11.49,0,0,0,0,0.82,2.46
 36-46,0,0,0,0.81,0.81,0,0,0,0.81,0,0,0.81,0,3.22,0,0,0,0,0.81,0.81
 48-58,0,0,0,1.72,0,0.57,0,0.57,0,0.57,0,0.57,0,6.89,0,0.57,0,0,0.57,1.15
 60-70,0,0,0,3.93,0.98,0.98,0,0,0,0,0,0,0.98,10.8,0,0,0,0,0.98,0.98
 72-82,0,0,0,0,0,6.87,0,0,0,0,0,0.98,0,10.8,0,0,0,0,0,0.98
 84-94,1.06,0,0,0,1.06,1.06,0,1.06,0,0,0,0,1.06,2.12,1.06,0,1.06,0,3.19,0
 96-106,0,0,2.19,2.19,0,0,0,0,1.09,0,0,0,0,4.37,0,0,0,0,0,0
108-118,0,0,0,3.83,0,0,0.77,0,0,0,0.77,0.77,0,3.83,0,0,0.77,0.77,0.77,0
120,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,9.8,0,0,0,0,0,1.96
