stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,2,24,0,1,0,0,0,3,0,0,3,14,0,1,0,0
 24-34,0,0.82,0.82,1.64,0,8.21,0,1.64,0,1.64,0,0,0,0,0.82,0,0,0,5.75,0,0,5.75,100.97,1.64,1.64,1.64,0,18.88,0,1.64,0.82,2.46,23.8,0,0.82,0,1.64
 36-46,0,0,5.64,0,0,6.45,0.81,0.81,0,2.42,0,0,0,0,0.81,0,0,1.61,8.06,0,0,0.81,76.54,2.42,0.81,0.81,0,18.53,0,0,0,0,17.72,0,0.81,0,1.61
 48-58,0,0,2.3,0.57,0,20.08,0.57,1.72,0,5.16,0,0.57,0,0,0,0,0.57,0.57,10.33,0,0,1.72,35,0.57,0,0.57,0,8.61,0,0,0,0,8.03,0,1.72,0,0
 60-70,0,0,1.96,0.98,0,14.72,0,1.96,0.98,2.94,0,0,0.98,0,0,0,0,0,10.8,0,0.98,1.96,33.37,0.98,0,1.96,0,9.82,0,0.98,1.96,0,5.89,0,2.94,0,0.98
 72-82,0,0,1.96,2.94,0,10.8,0.98,2.94,0.98,8.83,0,0,0.98,0,0,0,0.98,0,17.67,0,0,0,21.6,0,0,0.98,0,8.83,0,0.98,0,0,1.96,0,4.91,0,0
 84-94,0,0,6.37,0,0,8.5,1.06,2.12,2.12,0,1.06,1.06,0,1.06,0,0,0,0,8.5,0,1.06,0,14.87,0,1.06,1.06,0,18.05,0,2.12,0,0,2.12,0,0,0,0
 96-106,0,0,2.19,3.28,0,6.56,0,0,0,3.28,0,0,0,0,0,0,0,0,9.84,0,0,0,9.84,0,1.09,0,0,7.65,0,1.09,0,0,0,1.09,2.19,0,0
108-118,0,0,2.3,0,0.77,4.6,0,0.77,0,3.06,1.53,0,0.77,0,0,0,0,0,4.6,1.53,0,0,7.66,0,0,0.77,0,6.13,0,0,0,0,1.53,0,0,0,0
120,0,0,1.96,1.96,0,21.56,0,0,1.96,5.88,3.92,0,3.92,1.96,0,1.96,0,0,13.72,0,0,0,17.64,0,3.92,0,1.96,27.44,0,1.96,0,0,0,0,1.96,5.88,0
