stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,pericytes,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature
 14-21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0
 24-34,1.64,0.82,0.82,0,0,0.82,0,0,0,0,0,0,0.82,0,49.25,0,0,0,0,12.31,0,0,0
 36-46,0,0,12.89,0,0,3.22,0,0,0,0,0,0,2.42,0,78.96,0,0,0,0,20.95,0,0,0
 48-58,0,0,17.21,0,0,4.02,0,0.57,0.57,0,0,0.57,0,0,86.64,0,0,0,0,13.2,0,0,0.57
 60-70,0.98,0,60.85,0,0,9.82,0,0,0,0,0,0,6.87,0,245.38,0,0.98,0,0,28.46,0.98,0.98,0
 72-82,0.98,0,50.06,0,0,7.85,0.98,2.94,0,0,0,0,3.93,0,230.69,0,0.98,0,0.98,26.5,0.98,0.98,0
 84-94,0,0,35.05,0,0,7.43,0,3.19,0,0,0,0,6.37,0,92.4,0,1.06,0,0,5.31,0,0,0
 96-106,1.09,1.09,33.88,0,0,9.84,0,1.09,0,1.09,0,0,6.56,1.09,102.73,2.19,0,1.09,0,3.28,2.19,0,0
108-118,0,2.3,25.28,0,0.77,9.96,0,2.3,0.77,0,1.53,0,4.6,1.53,87.32,0.77,0.77,0,0,1.53,0,0,0
120,0,1.96,13.72,1.96,0,3.92,0,3.92,0,0,0,0,1.96,0,66.63,0,0,0,0,1.96,0,0,0
