stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,7.89,0,0,0,15.77,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,107.78,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,3.15,0,12.59,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,53.5,9.44,0,0,22.03,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,13,2,0,1,0,0,0,1,1,2,0,0,0,0,0,0,1,2,0,0,7,43,5,0,0,2,3,9,0,0,3,19,0,0,0,0,0
 24-34,0,0,0,0,6.57,0,0,5.75,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0.82,6.57,0,0,3.28,55,0.82,0,1.64,0,4.1,0,0,0.82,1.64,11.49,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,0,13.7,0,0.81,0,4.83,0,0,0,0,0.81,0,0,0,0,4.83,0,0,4.03,72.51,0,1.61,0,0,4.03,0,0,0,0,16.11,0,0,2.42,0,0.81
 48-58,0,0,0,0,0.57,0,0,25.25,0.57,1.15,1.15,6.89,0,0,0.57,1.15,0,0,0.57,1.15,0.57,16.07,0.57,1.15,1.72,43.04,0,0,0,0,2.87,0,0,0,0,10.9,0,0,1.15,0,1.15
 60-70,0,0,0,0,0,0.98,0,28.46,0,0,0.98,7.85,0,0,0,0,0,0,0,0,0,12.76,0.98,0,0.98,46.13,0,0,0,0,1.96,0,0,0,0,8.83,0,0,0.98,0,0
 72-82,0,0,0,0,2.94,0,0,35.34,0,0,0,8.83,0,0,0,0.98,0.98,0,0,0,0,16.69,0,0,2.94,45.16,0.98,0,0,0,2.94,0,0,0,0,6.87,0,0,1.96,0,0.98
 84-94,0,0,1.06,0,0,0,1.06,19.12,0,1.06,0,1.06,0,0,0,0,2.12,0,0,0,0,6.37,0,0,0,20.18,0,0,2.12,0,4.25,0,0,0,0,2.12,0,0,1.06,0,0
 96-106,0,0,1.09,0,2.19,1.09,0,6.56,1.09,0,1.09,5.46,1.09,0,0,1.09,1.09,2.19,0,0,0,10.93,0,0,2.19,22.95,0,0,0,0,6.56,0,0,0,0,1.09,0,0,1.09,1.09,0
108-118,0,0,0.77,0,2.3,0.77,2.3,13.02,0,0,0,5.36,2.3,0,0,0.77,0.77,0.77,0.77,0,0,6.13,0,0.77,1.53,16.85,0,0,0,0,3.06,0,0,0.77,0,1.53,0.77,0.77,1.53,0,1.53
120,0,0,0,0,7.84,1.96,0,17.64,0,0,0,3.92,5.88,0,0,0,1.96,0,0,1.96,0,7.84,0,0,1.96,25.48,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
