stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,5.26,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.38,5.26,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,3.15,31.47,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,365.05,3.15,0,0,18.88,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,7,7,113,2,1,0,0,0,0,0,3,0,3,0,0,1,0,0,1,66,0,32,160,0,1,0,3,24,1,1,2,0,0,0
 24-34,0,0,4.1,6.57,37.76,0,1.64,0,0,0,0,0,0.82,0,9.03,5.75,0,0.82,0.82,0,0.82,48.43,0,79.62,117.38,0,0,0,0,34.48,0,0.82,9.85,0,0,0
 36-46,0,0,0.81,0,13.7,0,4.03,0,0,0,0,0,0,0,12.09,2.42,0,3.22,0,0.81,0,42.7,0.81,62.84,70.9,0,0.81,0,0,16.11,0,0,5.64,0,0,0.81
 48-58,0,0,1.15,0,6.31,0,6.31,0.57,0.57,1.72,0,0,0,0,6.31,0,0.57,1.72,0,0,0,37.3,0,41.89,79.76,0,0.57,0,0,12.05,0,0,10.33,0,0,0
 60-70,0,0,0.98,0,3.93,0,6.87,0,0.98,0.98,0,0,0.98,0,1.96,0,0,1.96,0,0,0,28.46,0,37.3,66.74,0,0.98,0,0,7.85,0,0,1.96,0,0,0
 72-82,0,0,1.96,0,9.82,0,4.91,0.98,0,1.96,0,1.96,3.93,0,16.69,0,0,2.94,0.98,0,0,19.63,0.98,70.68,133.51,0,0,0.98,0,17.67,0,0,2.94,0,0.98,0
 84-94,0,0,4.25,0,4.25,0,5.31,0,0,3.19,2.12,0,1.06,0,9.56,0,0,4.25,0,0,0,5.31,0,72.22,143.38,0,0,0,0,18.05,0,0,2.12,1.06,0,0
 96-106,0,0,2.19,0,14.21,2.19,8.74,2.19,0,2.19,2.19,1.09,0,0,16.39,0,0,6.56,2.19,1.09,0,7.65,0,146.44,213.11,0,2.19,0,0,28.41,0,0,0,0,0,0
108-118,0,0,2.3,3.06,2.3,2.3,4.6,0,0.77,3.06,0,0,0,0.77,14.55,0.77,0,6.13,0.77,0,0.77,14.55,0,87.32,144.77,0,0,0,0,16.85,0,0,0.77,1.53,0.77,0
120,0,0,0,0,5.88,0,0,0,0,0,3.92,0,1.96,0,13.72,0,0,7.84,0,0,0,5.88,1.96,56.83,96.03,0,0,0,0,11.76,0,0,0,0,0,1.96
