stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,171.31,2490.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0,0
  5-6,122.59,1955.35,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,12.26,0,55.17,0,0,0,0,0,0,0,0,0,0
  7-9,28.92,7.89,0,15.77,0,0,0,21.03,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,381.16,13.14,0,0,134.06,0,2.63,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,6.29,0,25.18,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,138.47,12.59,0,0,34.62,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,15,2,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,3,1,0,1,37,1,3,0,0,0,9,3,1,0,0,21,0,0,0,0,0
 24-34,0,0,0,0.82,14.78,0.82,0,14.78,0,3.28,0,2.46,0.82,0,0.82,2.46,6.57,0,0,1.64,0.82,7.39,1.64,0,2.46,274.99,0,13.13,2.46,0.82,0,27.91,0,0,0.82,0,80.44,0,0,4.1,0,0.82
 36-46,0,0,0,0,11.28,0.81,0,28.2,0,0,0,7.25,0.81,0,1.61,3.22,1.61,0,0.81,0.81,5.64,11.28,0.81,0.81,0,694.49,0.81,12.09,4.83,0,0,27.39,0,0,0,0.81,167.58,0,0,5.64,0,8.06
 48-58,0,0,0,0.57,9.18,0.57,0,121.65,0,4.59,2.87,20.66,1.15,0,1.72,5.16,3.44,0,1.72,0.57,7.46,26.4,0,0,4.02,952.52,1.72,9.18,7.46,0,0,17.79,0,0,1.15,0.57,169.27,0,0,5.74,0,10.33
 60-70,0,0,0.98,0,11.78,0,0,506.47,2.94,6.87,1.96,47.11,3.93,0.98,0,2.94,0.98,4.91,2.94,2.94,0.98,24.54,1.96,1.96,0.98,1706.87,0,14.72,10.8,0,0,28.46,0,0,3.93,0,213.97,0,0,4.91,1.96,10.8
 72-82,0,0,2.94,0,26.5,4.91,0,720.54,0,7.85,1.96,63.81,5.89,0,1.96,17.67,6.87,3.93,3.93,2.94,4.91,40.25,0,0.98,1.96,1438.13,0,21.6,33.38,0,1.96,13.74,0,0,1.96,0,107,0.98,0.98,7.85,1.96,11.78
 84-94,0,0,1.06,0,31.86,1.06,0,484.29,2.12,6.37,1.06,41.42,18.05,0,0,19.12,13.81,9.56,1.06,8.5,10.62,32.92,0,3.19,5.31,696.7,0,8.5,29.74,0,0,63.72,0,0,6.37,0,58.41,2.12,0,9.56,2.12,3.19
 96-106,0,0,1.09,0,37.16,4.37,0,502.71,0,7.65,1.09,57.92,10.93,0,4.37,18.58,13.11,12.02,9.84,7.65,4.37,30.6,3.28,3.28,1.09,657.89,1.09,24.04,45.9,0,3.28,55.74,1.09,0,4.37,0,34.97,5.46,2.19,8.74,0,3.28
108-118,0,0,2.3,0.77,39.83,1.53,0.77,335.49,0,10.72,1.53,56.68,19.15,0,0,14.55,11.49,13.02,4.6,4.6,10.72,38.3,1.53,3.06,0.77,619.66,0,11.49,22.21,0,0,29.11,0.77,0,3.06,0,22.98,3.06,0,5.36,2.3,7.66
120,0,0,1.96,0,47.03,1.96,1.96,352.76,1.96,3.92,0,64.67,25.48,0,5.88,35.28,13.72,3.92,1.96,5.88,3.92,31.36,0,5.88,3.92,901.5,3.92,17.64,29.4,0,0,31.36,0,0,5.88,0,45.08,3.92,1.96,7.84,0,3.92
