stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,6.29,0,0,129.03,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,254.9,0,0,0,22.03,0,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,54,5,7,0,0,0,60,0,0,0,0,0,0,0,0,0,18,2,0,21,566,1,0,0,0,0,0,2,0,7,3,381,0,0,0,0,0
 24-34,0,0,0,0.82,30.37,3.28,18.06,0,1.64,0,92.76,0,0,0.82,0.82,0,0,0,0.82,0.82,26.27,0,0,9.85,1827.23,0,0,3.28,0,0,3.28,0,0.82,1.64,4.1,732.2,0,0,1.64,0,0.82
 36-46,0,0,0,0,8.06,0.81,18.53,0,1.61,0,149.85,0,0,0.81,0.81,0.81,0.81,0.81,0,0,32.23,0,2.42,7.25,1833.7,0.81,0.81,2.42,0,0,1.61,0,0,0.81,0,906.38,0,0,0.81,0,0.81
 48-58,0.57,0,0,0,6.89,0,56.81,0,0,0,326.49,0,0,0.57,1.72,0,0,0.57,0.57,0.57,26.97,0,0.57,7.46,934.15,0.57,1.72,0,0,0,1.15,0,0,0,0,628.32,0,0,0,0,0.57
 60-70,0,0,0,0,1.96,0.98,40.24,0,0.98,0,343.53,0,0,0.98,0.98,0.98,0,0,0,0,20.61,0,0,1.96,530.02,0.98,0,2.94,0,1.96,0,0,0,0,0,277.77,0.98,0,0.98,0,1.96
 72-82,0,0,0,0,7.85,1.96,59.88,0,0,0.98,362.23,0,0,0,0.98,0,0,0.98,0,0,24.54,0,0.98,0.98,434.88,0,0,6.87,0,0.98,0.98,0,0,0,0,83.44,1.96,0.98,1.96,0,1.96
 84-94,0,0,0,0,5.31,0,67.97,0,0,0,274.01,1.06,0,1.06,0,2.12,1.06,0,0,0,22.3,1.06,0,2.12,261.26,2.12,1.06,8.5,0,0,1.06,0,0,0,0,98.77,0,0,0,1.06,0
 96-106,0,0,0,0,13.11,1.09,44.81,1.09,0,0,243.7,1.09,0,0,0,1.09,0,2.19,0,0,13.11,0,0,1.09,174.86,0,1.09,14.21,0,0,2.19,0,0,1.09,0,18.58,0,2.19,0,1.09,0
108-118,0,0,0,0,4.6,1.53,19.15,0,0,0,188.43,0,0,0,1.53,0.77,1.53,0.77,0,0,13.02,0,0.77,0.77,170.81,0,0.77,16.09,0,0.77,0,0,0,0.77,0,6.89,0,0,0,0,0
120,0,0,0,0,1.96,0,27.44,0,0,0,209.7,0,0,0,0,0,0,0,0,0,9.8,0,0,0,186.18,0,1.96,7.84,0,0,0,0,0,1.96,0,19.6,0,1.96,0,0,0
