stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0
 24-34,0,0,1.64,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.82,51.71,0,1.64,0,0,0,0.82,27.91,0,0,0,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,147.44,0,0,0,0,0,1.61,50.76,0,0,0,0
 48-58,0,0,0,0,14.35,0.57,0,0.57,1.72,0,0,0,0,0,0.57,1.72,0.57,0.57,219.19,0,0,0.57,0,0,1.15,60.25,0,0.57,0,0
 60-70,0,0,0.98,0,31.41,0,0,0,3.93,0,0,0,0,0,0.98,2.94,0,0,345.5,0,0.98,0,0.98,0,2.94,71.65,0,0,0.98,0.98
 72-82,0,0,3.93,0.98,69.7,0,0,0.98,3.93,0,0.98,0,0,0.98,0,5.89,0.98,0,427.02,0,0,0,0,0,0,64.79,0.98,1.96,0.98,3.93
 84-94,0,0,5.31,0,71.16,1.06,1.06,0,4.25,1.06,1.06,0,0,2.12,0,4.25,1.06,1.06,216.66,0,0,1.06,2.12,1.06,0,23.36,1.06,0,1.06,0
 96-106,0,0,2.19,1.09,50.27,0,1.09,1.09,14.21,1.09,0,1.09,0,1.09,0,4.37,0,2.19,219.66,0,0,1.09,0,0,0,16.39,0,1.09,0,0
108-118,0,0.77,2.3,0,45.96,0,0,0,13.02,0.77,0,0,0,1.53,0,5.36,0,0,223.66,0,0.77,0,0.77,0,0,9.19,1.53,1.53,0,0
120,0,0,11.76,0,54.87,1.96,0,0,11.76,0,0,1.96,1.96,0,1.96,7.84,0,1.96,305.73,1.96,0,0,0,0,0,25.48,1.96,0,0,0
