stage,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0,0,1.64,0,0.82
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,1.61,13.7,0,0,0,0,0,0,4.03,0,0
 48-58,0,0,0.57,2.87,0,0.57,0,0,0,0,0.57,0.57,0,26.4,0,0,0,0,0,0,2.87,0,1.15
 60-70,0,0,0.98,4.91,0,0,0.98,0,0.98,0,0,0,0.98,56.93,0,0,0,0,0,0,4.91,0,1.96
 72-82,0,0,0,10.8,0,0,0,3.93,0,0,0,1.96,0,67.73,2.94,0,0,0,0,0,12.76,0,0
 84-94,0,0,0,9.56,0,0,0,2.12,0,0,0,0,2.12,31.86,1.06,0,0,1.06,0,0,4.25,0,0
 96-106,0,0,1.09,6.56,1.09,0,0,1.09,0,1.09,0,0,0,36.06,7.65,0,1.09,0,0,0,2.19,0,2.19
108-118,0.77,0,1.53,13.02,0.77,0,0,3.06,0,0,0,0,1.53,43.66,2.3,0,0.77,0,0,0,1.53,0.77,0
120,0,0,3.92,7.84,0,0,0,3.92,0,1.96,0,5.88,0,80.35,1.96,0,0,0,0,0,1.96,0,0
