stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,2,18,10,0,9,0,1,0,124,2,0,0,0,0,0,0,0,0,14,0,0,7,165,26,7,40,76,0,2,5,140,1,7,508,0,0,1,0,0
 24-34,0.82,0,9.85,0,0,13.95,0,0.82,0.82,134.62,0,0,0,0,1.64,0,0.82,0.82,0,16.42,0,0,5.75,231.48,4.1,60.74,16.42,0,0,10.67,0,59.92,0.82,9.03,297.97,0,0,3.28,0,0
 36-46,0,0,7.25,0.81,0,22.56,0,0.81,0.81,100.71,0,0,3.22,0,0,0,0,0,0,12.09,0,0,2.42,298.1,1.61,56.4,7.25,0,0,4.03,0,21.75,0,0,208.67,0,0,2.42,0,0
 48-58,0,0,2.3,0,0,51.64,0,0.57,0.57,74.59,0,0,0.57,0,0,0.57,2.3,0.57,1.15,14.35,0,0.57,1.72,240.42,1.15,43.61,8.61,0,0.57,3.44,0,10.9,0,0,185.91,0,0,4.02,0,0.57
 60-70,0,0,3.93,0,0,65.76,0,1.96,0.98,59.87,0,0,0.98,0,0,0,5.89,0,0,17.67,0,1.96,0,324.88,0.98,49.08,8.83,0,0,2.94,0,6.87,0.98,0,124.65,0,0,0.98,0,0
 72-82,4.91,0,4.91,3.93,0,81.48,0,0.98,2.94,107,1.96,0,0,0.98,0,0,13.74,0.98,0,33.38,0.98,0.98,0.98,284.68,0,92.28,17.67,0,1.96,5.89,0,12.76,0,0,98.17,1.96,0,9.82,0.98,0
 84-94,3.19,2.12,8.5,0,0,71.16,0,0,0,61.6,2.12,0,1.06,0,0,3.19,11.68,0,2.12,32.92,0,1.06,3.19,155.06,0,98.77,25.49,0,3.19,9.56,0,21.24,0,0,67.97,6.37,0,3.19,2.12,1.06
 96-106,1.09,5.46,17.49,0,1.09,45.9,1.09,2.19,2.19,52.46,1.09,1.09,0,1.09,1.09,1.09,25.14,1.09,1.09,26.23,1.09,6.56,2.19,113.66,2.19,132.23,40.44,0,4.37,4.37,0,14.21,2.19,0,51.36,5.46,1.09,5.46,1.09,2.19
108-118,0,3.06,19.15,0.77,2.3,37.53,0,3.06,0.77,62.81,3.83,0,0.77,0.77,2.3,3.06,13.02,2.3,0.77,23.74,0.77,2.3,3.83,145.53,2.3,88.85,20.68,0,3.06,6.89,0,17.62,0,0,36,16.85,1.53,3.06,1.53,0
120,0,0,11.76,0,0,31.36,3.92,5.88,1.96,33.32,1.96,0,1.96,0,1.96,1.96,7.84,1.96,1.96,29.4,0,5.88,7.84,119.55,3.92,37.24,27.44,0,0,7.84,0,13.72,1.96,0,17.64,5.88,0,3.92,0,3.92
