stage,blastomeres,epidermis,erythrocytes,eye,glial,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,somites,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,15.73,3.15,0,12.59,0,0,3.15,0,0
 14-21,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,1
 24-34,0,0,0,0,0,0,0.82,0,9.85,0,0,0,0.82,0,0,0,4.93
 36-46,0,0,0,0.81,0,0,0,0,0.81,0,0,0,0,0.81,0,0,1.61
 48-58,0,0.57,0,0.57,0.57,0,0,0,1.15,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0.98,0,2.94,0,0,0,0,0,0,0,0
 72-82,0,0.98,0.98,0.98,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,1.06,1.06,1.06,2.12,0,2.12,0,1.06,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,1.53,0,1.53,0,1.53,0,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,3.92,1.96,1.96,0,0,0,0,0,0,0,0
