stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,1,1,0,0,1,0,0,0
 24-34,0,0,2.46,0,0,0,0,0,0,0,0,0,0.82,0,0.82,2.46,0,0,0,3.28,0,0,0,0.82,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0.81,0,3.22,0,0,0,2.42,0,0,0,0.81,0,0,0
 48-58,0,0,2.3,0,0.57,0.57,0,0,0,0,0,0,1.15,0.57,0,2.3,0,0,0,2.87,0,0.57,0,1.15,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,2.94,0.98,0,0,1.96,0,5.89,0,0.98,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,0,0,0,0,2.94,0,0,6.87,0.98,0,0,0,0,35.34,0,0,0,0.98,0
 84-94,0,0,1.06,0,0,0,1.06,1.06,0,0,0,1.06,1.06,0,0,2.12,2.12,0,0,10.62,0,74.34,0,0,0,0,0
 96-106,0,0,1.09,0,3.28,0,1.09,1.09,0,0,1.09,0,2.19,0,1.09,2.19,0,0,0,7.65,0,91.8,0,0,1.09,0,1.09
108-118,0,0,2.3,0,0.77,0,0,0.77,0,0,0,0,2.3,0,0.77,3.06,0,0,0,3.06,0,100.34,0,0,0,0,0
120,0,0,0,0,1.96,5.88,1.96,3.92,0,0,0,0,1.96,0,0,3.92,0,0,0,7.84,0,68.59,1.96,0,0,0,0
