stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,557.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,118.29,7.89,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.41,6.29,0,0,28.32,0,0,0,0,6.29,0,3.15,3.15,0,0,0,0
 14-21,0,0,1,7,4,5,0,0,34,0,0,0,0,0,0,0,0,0,3,0,1,96,6,9,9,2,0,0,1,1,31,2,1,113,0,2,0,0
 24-34,0,0,3.28,7.39,1.64,13.95,0,0,27.91,0.82,0,0,0,0,0,0.82,0,0.82,3.28,0,1.64,148.57,0.82,36.94,7.39,0,0,0,0,0,13.95,0,0.82,79.62,0,7.39,0,0
 36-46,0,0,0,2.42,0,116.02,0,0,13.7,0,0,0,0.81,0,0,0,0,0,1.61,0,0,191.75,0,24.98,0,0,0,0,0,0,6.45,0,0,46.73,0,2.42,0,0.81
 48-58,0,0,0,0,0,144.6,0,0,17.79,0.57,0,0,0,0,0,0,0,0,1.15,0.57,1.72,148.62,0,17.79,4.59,0,0,0.57,0,0,1.15,0,0,48.2,0,1.15,0,0.57
 60-70,0,0,0,0,0.98,157.04,0,0,19.63,0,0,0,0,0,0,1.96,0,0,2.94,0,0.98,194.34,0,16.69,4.91,0,0,0.98,0,0,0.98,0,0,19.63,0,0.98,0,0.98
 72-82,0,0,0.98,1.96,2.94,125.65,0,0,33.38,1.96,0,0,0.98,0,0,5.89,0,0,0.98,0,0.98,175.72,0,25.52,9.82,0,0,0,0,0,0,0,0,16.69,1.96,1.96,0,0
 84-94,0,0,1.06,1.06,0,115.76,1.06,1.06,16.99,0,0,1.06,0,1.06,1.06,3.19,0,0,6.37,0,0,81.78,0,24.43,12.74,0,0,0,0,0,4.25,0,0,10.62,0,1.06,0,0
 96-106,0,0,2.19,0,0,103.82,0,0,21.86,2.19,0,0,1.09,0,0,12.02,1.09,1.09,3.28,0,0,64.48,0,25.14,26.23,0,1.09,1.09,0,0,3.28,0,0,3.28,0,2.19,2.19,0
108-118,0,0,0,1.53,0.77,47.49,0,0,19.15,0.77,0,0,0,1.53,0.77,6.13,0,0,6.13,0,0,113.36,0,26.04,9.19,0,0.77,0.77,0,0,1.53,0,0,4.6,0.77,0.77,0,0
120,0,0,0,1.96,0,80.35,1.96,0,11.76,0,0,0,1.96,1.96,0,3.92,0,0,7.84,0,0,123.47,0,7.84,5.88,0,0,3.92,0,0,1.96,0,0,9.8,0,0,0,0
