stage,epidermis,erythrocytes,eye,fin.epithelia,glial,heart,immune,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,9.85,0,0,0,0,1.64,0,0
 36-46,0.81,0,0,0,0,0,0,0.81,0,48.34,0,0,0,0,4.03,0,0
 48-58,0,0,5.16,0,0.57,0.57,0,0.57,0.57,57.95,0,0,0,0.57,7.46,0,0
 60-70,1.96,0,18.65,0,0,0,0,1.96,0.98,105.02,0,0,0,0,15.7,0,0
 72-82,0,0,18.65,0,2.94,0.98,0,5.89,0.98,59.88,0,0,0.98,0,5.89,0,0.98
 84-94,1.06,0,16.99,1.06,3.19,0,1.06,4.25,0,36.11,1.06,0,0,0,4.25,0,1.06
 96-106,0,0,13.11,0,3.28,0,0,4.37,0,28.41,0,0,0,0,1.09,1.09,0
108-118,0.77,0.77,6.13,0,1.53,0.77,0,5.36,0,29.11,0,1.53,0,0,1.53,0,0
120,1.96,1.96,5.88,0,3.92,0,1.96,0,0,56.83,1.96,1.96,0,0,0,0,0
