stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,487.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,392.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,18.39,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,26.29,0,52.57,0,0,102.52,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,562.54,39.43,0,0,233.96,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,15.73,0,100.7,0,18.88,78.67,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,1088.85,50.35,0,0,311.55,0,0,0,3.15,59.79,0,0,6.29,0,0,0,0,0
 14-21,0,0,1,2,40,12,6,0,0,86,3,0,0,0,0,0,0,0,0,16,0,0,5,218,3,8,36,23,0,6,1,34,84,0,13,317,0,0,0,0,0
 24-34,0,0,2.46,3.28,15.6,0.82,22.16,0,1.64,82.09,0,0,0,0.82,2.46,1.64,0.82,0,0.82,22.98,0.82,0,8.21,239.69,0.82,33.66,7.39,0,0,50.07,0,0,30.37,0,3.28,214.24,0,0,2.46,0,0
 36-46,0,0,0,0,2.42,0,51.56,1.61,0,53.98,1.61,0,0,0.81,3.22,0,0.81,1.61,0,17.72,0,0.81,4.03,201.42,1.61,37.87,4.83,0,0,49.15,0,0,16.92,0,0,131.32,0,0,0.81,0,0.81
 48-58,0,0,1.15,0,7.46,0,90.66,0,1.15,49.92,0.57,0,0,0,2.3,1.15,4.02,0.57,0,22.95,1.15,0,4.59,116.48,0.57,32.13,5.74,0,0.57,39.02,0,0,5.74,0,0,96.4,0,0,0,0,0
 60-70,0,0,0,0,9.82,0,133.49,0.98,0,46.13,0.98,0,2.94,0,2.94,0,2.94,0.98,1.96,21.59,1.96,0,1.96,89.32,0,42.21,8.83,0,0.98,64.78,0,0,5.89,0,0,43.19,0,0.98,0,0.98,0
 72-82,0,0,10.8,0,9.82,0.98,94.24,2.94,0.98,58.9,6.87,0,0,0,10.8,0,10.8,0,0.98,26.5,1.96,1.96,0,84.42,0,52.03,18.65,0,0,96.2,0,0,4.91,0,0,35.34,0.98,0,0,3.93,0.98
 84-94,0,0,4.25,2.12,20.18,1.06,62.66,6.37,1.06,48.85,5.31,0,0,1.06,16.99,1.06,9.56,2.12,0,29.74,4.25,1.06,4.25,49.92,0,66.91,24.43,0,2.12,269.76,0,0,5.31,0,0,28.68,1.06,0,0,1.06,0
 96-106,0,0,6.56,1.09,30.6,1.09,40.44,4.37,2.19,31.69,4.37,0,0,3.28,22.95,0,24.04,2.19,0,25.14,5.46,3.28,0,42.62,1.09,93.98,28.41,0,0,174.86,0,0,8.74,0,0,12.02,1.09,2.19,0,2.19,1.09
108-118,0,0,5.36,1.53,26.81,1.53,25.28,5.36,1.53,46.72,3.06,0,0,3.06,19.15,0,13.02,0.77,1.53,19.15,3.83,0,1.53,53.62,0,55.92,23.74,0,0.77,179.24,0,0,6.89,0.77,0,15.32,0.77,0.77,1.53,1.53,0
120,0,0,1.96,0,25.48,3.92,37.24,0,0,21.56,3.92,0,0,1.96,13.72,0,11.76,0,0,21.56,1.96,0,0,52.91,1.96,41.16,25.48,0,0,119.55,0,0,5.88,0,0,15.68,1.96,0,1.96,1.96,0
