stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,15,2,3,0,0,0,4,1,0,0,1,0,0,0,4,0,0,7,49,4,0,0,1,0,2,7,0,1,16,26,0,0,0,0,0
 24-34,0,0,0,0,9.85,0.82,11.49,0,0,0,0.82,0,0,0,0,0,0,0,10.67,0,0,5.75,86.19,0,2.46,1.64,0,0,14.78,0,0.82,0,2.46,30.37,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,15.31,0,0,0,4.03,0,0,0,0,0,0,0,9.67,0,0,2.42,61.23,0,4.03,0.81,0,0,3.22,0,0,0,0,16.11,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,1.15,21.8,0,0.57,1.15,9.18,0,0,0,0.57,0,0,0,19.51,0,0.57,2.3,58.53,0,1.72,0,0,0,0.57,0,0,0,0,11.48,0,0,0,0,0
 60-70,0,0,0,0,3.93,0.98,44.17,0,0,0,9.82,0.98,0,0,0,0.98,0,0.98,14.72,0,0.98,3.93,90.3,0,0.98,0,0,0,0.98,0,0.98,0,0,9.82,0,0,0.98,0,0
 72-82,0,0,0,0.98,3.93,20.61,41.23,0,0,2.94,12.76,0,0,0,0,0,0,0.98,27.49,0,0.98,4.91,111.91,0,3.93,0.98,0,0.98,0.98,0,0,0,0,6.87,0,0,0,1.96,0.98
 84-94,0,0,0,0,1.06,19.12,20.18,0,0,3.19,11.68,2.12,0,0,1.06,1.06,0,2.12,8.5,0,0,5.31,33.99,0,0,0,0,0,4.25,0,0,0,0,2.12,0,1.06,1.06,0,0
 96-106,0,0,0,0,2.19,13.11,18.58,0,0,0,4.37,2.19,1.09,1.09,1.09,0,1.09,3.28,8.74,1.09,1.09,2.19,60.11,0,1.09,2.19,0,0,5.46,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0.77,0,2.3,12.26,19.92,0.77,0,0,12.26,0,0,0,0.77,0,0,2.3,9.19,0,0,1.53,55.92,0,0.77,2.3,0,0,1.53,0,0,0,0,1.53,0.77,0,0.77,1.53,0
120,0,0,0,0,0,5.88,19.6,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,1.96,35.28,0,0,1.96,0,0,3.92,0,0,0,0,1.96,0,0,0,0,0
