stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,0,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,24,0,0,1,1,0,7,5,0,0,3,13,0,0,1,0,0
 24-34,0,0,0,4.1,0,0,5.75,0,0,1.64,0,0,1.64,0,0.82,0.82,0,0,0.82,6.57,0,0,1.64,70.59,2.46,1.64,0,0,0,19.7,0,0,0,0.82,13.13,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,13.7,0,0.81,3.22,0.81,0,0.81,0,0,0,0,0.81,0,4.83,0,1.61,1.61,66.06,0.81,0,1.61,0,0,10.47,0,0,0,0.81,17.72,0,0,1.61,0,0
 48-58,0,0,0,2.87,0,0,17.79,0.57,0,4.59,0,0,0,0,0,0,0,0,0,5.74,0.57,0.57,2.87,51.07,0,1.15,0,0,0,3.44,0,0.57,1.72,0,12.05,0,0,0,0.57,1.72
 60-70,0,0,0,0.98,0,0,23.56,0,0,2.94,0,0.98,0,1.96,1.96,1.96,0.98,0,0,8.83,0,0,2.94,55.95,0,0,0.98,0,0,17.67,0,0,0,0,9.82,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,35.34,0,0,7.85,0.98,0,0,0.98,0,0,0.98,0.98,0,11.78,1.96,0.98,3.93,64.79,0,1.96,0,0,0,18.65,0,0,0,0,1.96,1.96,0,2.94,1.96,0.98
 84-94,0,2.12,0,1.06,2.12,0,23.36,0,0,3.19,0,0,0,1.06,1.06,0,1.06,0,1.06,13.81,0,0,1.06,26.55,0,1.06,2.12,0,0,23.36,0,1.06,0,0,5.31,1.06,1.06,3.19,0,1.06
 96-106,0,0,0,4.37,2.19,0,10.93,1.09,2.19,4.37,3.28,0,0,1.09,0,0,1.09,0,1.09,7.65,2.19,1.09,3.28,14.21,0,2.19,0,0,1.09,34.97,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0.77,3.83,0,2.3,14.55,2.3,0,9.19,3.83,0,0,2.3,2.3,0,1.53,0.77,0.77,8.43,0.77,0.77,2.3,39.83,1.53,1.53,0.77,0,0,35.23,0,0,0.77,0,0.77,1.53,0.77,0.77,0.77,1.53
120,0,0,0,7.84,0,1.96,25.48,1.96,0,9.8,5.88,0,0,3.92,0,0,0,1.96,1.96,5.88,0,1.96,0,48.99,0,0,3.92,0,0,29.4,0,0,1.96,0,1.96,0,0,0,0,1.96
