stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,105.42,882.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,104.2,864.28,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,24.52,0,0,0,30.65,0,0,0,0,0,0,0,0,0
  7-9,13.14,26.29,0,63.09,0,0,0,55.2,0,0,0,0,0,49.95,0,0,0,0,0,0,0,0,0,617.75,28.92,0,281.27,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,18.88,0,6.29,0,25.18,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,245.46,6.29,0,103.85,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,12,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,4,30,5,0,1,1,0,4,0,0,5,8,0,0,0
 24-34,0,0,0,0,4.1,4.1,0,7.39,0,0,0,0.82,1.64,0,0,0,0,0,0,0.82,1.64,0,5.75,55,2.46,0.82,0,10.67,0,0,0.82,0,1.64,21.34,0,0.82,0.82
 36-46,0,0,0,0,2.42,0.81,0,0.81,0.81,0,0.81,1.61,0,0,0,0,0,0,0,0.81,5.64,0,0.81,28.2,0.81,0.81,0,9.67,0,0,0.81,0,0,10.47,0,0,0
 48-58,0,0,0.57,0,1.15,0.57,0,6.89,0.57,0,0.57,2.87,0,0.57,1.15,0,0,0,0,0.57,7.46,1.15,1.15,27.54,0.57,1.15,0,1.72,0,0,0,0.57,0,9.18,0,1.72,0
 60-70,0,0,0,0,7.85,1.96,0,10.8,1.96,0,0,1.96,0,0,0,0.98,0,0,0,0.98,10.8,0,0,12.76,0.98,0.98,0,10.8,0,0,0,0,0,2.94,0.98,0,0
 72-82,0,0,0,0,0.98,2.94,0,6.87,0,1.96,0,0,0,0,0,0,0,0,0,0,5.89,0,0,12.76,0.98,0,0,4.91,0,0,0,0,0,1.96,0,0.98,0
 84-94,0,0,0,0,1.06,0,1.06,6.37,0,0,0,3.19,1.06,0,0,0,0,0,0,0,2.12,0,0,6.37,1.06,0,0,4.25,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,4.37,3.28,1.09,3.28,0,0,0,2.19,1.09,0,0,2.19,1.09,0,0,1.09,3.28,0,0,2.19,0,0,0,8.74,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0,1.53,0,0.77,0,0,0,0,0,0,0.77,0.77,0,0,0,0.77,4.6,0.77,0,7.66,0.77,0,0,3.06,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,7.84,0,0,3.92,0,0,0,1.96,3.92,0,0,1.96,0,1.96,1.96,0,17.64,0,0,19.6,0,0,0,3.92,0,0,0,0,0,0,0,0,0
