stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,1,0,0,0,0,1,4,0,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0.82,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,10.47,0,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,1.15,1.15,0,0,0,3.44,0,0,0,0,0,0,1.72,0,0,0,0
 60-70,0,0,0,0,0,0,3.93,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,1.96,0,0,0,0,2.94,0,0,0.98,11.78,0,0,0,11.78,0,0.98,0,0,0,8.83,0,0,0.98,0,1.96,0,0.98,0,0,0,0
 84-94,0,2.12,0,0,0,0,1.06,0,0,0,27.61,0,0,0,8.5,1.06,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,3.28,2.19,0,12.02,1.09,0,5.46,62.29,2.19,0,0,330.04,0,5.46,0,1.09,0,52.46,0,0,0,0,4.37,0,0,1.09,4.37,0,1.09
108-118,0,0.77,0,2.3,1.53,1.53,8.43,0,0.77,2.3,95.75,0.77,1.53,0.77,736.86,0,6.13,0.77,0.77,0,42.89,0,0,0,0.77,3.83,0,1.53,0,1.53,1.53,0
120,0,0,0,1.96,3.92,0,7.84,0,0,0,160.7,1.96,0,0,468.39,1.96,7.84,0,0,0,25.48,0,0,0,0,3.92,0,0,0,1.96,0,0
