stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,99.89,5.26,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,15.73,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,10,1,0,0,0,0,0,3,0,2,5,6,0,0,0,0,0
 24-34,0,0,0.82,1.64,0.82,7.39,0,0,0.82,0,0,0,0,0,0,0,4.93,0,5.75,47.61,0.82,0,0,0,0,0,0,0,0.82,0,13.13,0,0,0,0,0
 36-46,0,0,0,0,0,14.5,0,0,0,1.61,0,0.81,0,0,0,0,7.25,0,3.22,41.89,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0.81,0,0
 48-58,0,0,0,0,0,24.1,0,0,1.15,2.3,0,0,0,0,0,1.15,14.35,1.15,4.02,39.02,0,1.15,0,0,0,0,0,0,0.57,0,9.75,0,0,0.57,0,0
 60-70,0,0,0,0,0,18.65,0.98,0,0,1.96,0,0,0,0,0,0,31.41,0.98,1.96,31.41,0,0,0,0,0,0,0,0,0,0,5.89,0,0.98,2.94,0,0
 72-82,0,0,0,1.96,0.98,33.38,0,0,1.96,11.78,0,0.98,0,0,0,1.96,21.6,0.98,2.94,58.9,0,0,0,0,0.98,0,0,0,0,0,5.89,0,0,3.93,0,0
 84-94,0,0,0,1.06,0,14.87,0,1.06,1.06,4.25,2.12,2.12,5.31,0,0,1.06,14.87,0,0,33.99,0,0,1.06,0,1.06,0,0,0,0,0,3.19,1.06,0,3.19,1.06,0
 96-106,0,0,0,1.09,0,9.84,0,0,0,10.93,0,0,2.19,0,0,0,20.76,0,2.19,12.02,0,0,1.09,0,1.09,0,0,0,0,0,0,0,1.09,0,1.09,1.09
108-118,0,0,0,0.77,0,9.19,1.53,0,0,6.89,0.77,0.77,0,0.77,2.3,0.77,18.38,0.77,4.6,29.87,0.77,0,0.77,0,0.77,0,0,0,0,0,0,0,0,1.53,0.77,2.3
120,0,0,0,1.96,0,7.84,0,0,0,1.96,0,0,3.92,0,0,1.96,13.72,0,0,13.72,0,0,0,0,0,0,0,0,0,0,1.96,0,0,3.92,1.96,0
