stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,13.14,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,18.4,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,12.59,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,62.94,0,0,0,100.7,0,3.15,0,6.29,0,0,0,0,0
 14-21,0,1,0,55,0,4,1,0,3,0,0,0,0,0,0,6,0,0,4,52,2,0,0,1,0,30,0,17,25,0,0,1,0
 24-34,0,0,0,34.48,0,4.1,8.21,0,1.64,0.82,0,0,0,0,0,13.95,0,0,6.57,88.65,0.82,0,0,0,0,0,0.82,1.64,22.98,0,0,0.82,0
 36-46,0,0,0,24.17,0,4.03,5.64,0,3.22,0,0,0.81,0,0.81,0,16.11,0.81,0,2.42,66.87,0.81,0,0.81,0,0.81,0,0,0,14.5,0,0,0,0
 48-58,0,0,0,18.36,0,6.31,4.02,0.57,3.44,0,0,5.74,0.57,0.57,0,13.2,2.3,0,4.02,28.12,0,0.57,0,0,0,0,0,0,8.61,0,0,0,0
 60-70,0,0,0,30.43,0,11.78,11.78,0,5.89,0,0,1.96,0.98,0,0,14.72,3.93,0,1.96,15.7,0,0,0,0,2.94,0,0,0,4.91,0.98,0,0,0
 72-82,0,0,0,37.3,0.98,8.83,4.91,0.98,5.89,0.98,0.98,4.91,1.96,0.98,0.98,21.6,5.89,0.98,0,14.72,0,0.98,0,0,0,0,0,0,0.98,2.94,1.96,0,0.98
 84-94,0,0,0,47.79,0,13.81,21.24,1.06,2.12,0,0,10.62,1.06,0,0,18.05,10.62,0,1.06,9.56,0,0,1.06,0,2.12,0,0,0,1.06,5.31,0,1.06,0
 96-106,0,0,0,29.51,1.09,4.37,12.02,1.09,5.46,0,0,10.93,2.19,2.19,0,7.65,5.46,1.09,0,7.65,0,1.09,0,0,2.19,0,0,0,0,9.84,0,0,0
108-118,0,0,0,41.36,0,4.6,19.15,0,2.3,2.3,0,9.96,0.77,0,0,16.09,7.66,0,0.77,6.89,0,0,0.77,0,0.77,0,0,0,0,6.89,0,0,0.77
120,0,0,0,70.55,0,1.96,11.76,0,0,0,0,9.8,0,1.96,0,17.64,9.8,0,0,9.8,0,0,1.96,0,1.96,0,0,0,0,3.92,0,0,0
