stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,immune,liver,mesenchyme,mural.cell,muscle,neural,otic,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,0,1,0,0,0,0,0,3,0,0,0,1,2,0,0
 24-34,0,0,0,0,13.95,0,0,0,0,0,0,0,4.1,0,0,0.82,0,2.46,0,0
 36-46,0,0,0,0,13.7,0,0,0.81,0,0,0,0.81,3.22,0,0,0.81,0,11.28,0,0
 48-58,0,0,0,0,12.05,0,0,0,0,0.57,0,0,1.15,0,0,0,0,4.59,0,0
 60-70,0,0,0,0.98,35.33,0,0,0,0,0,0,0,1.96,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,83.44,0,1.96,0,0,1.96,0,0,5.89,0,0,0,0,1.96,0.98,0
 84-94,0,0,0,1.06,94.52,0,0,1.06,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,4.37,0,104.91,1.09,1.09,0,1.09,1.09,0,0,2.19,0,1.09,0,0,0,0,0
108-118,0,0,0,0,92.68,0,0,0.77,0.77,1.53,0,0,2.3,0,0,0,0,0,0,0.77
120,0,0,0,3.92,121.51,0,1.96,0,0,1.96,1.96,0,5.88,1.96,0,0,0,1.96,0,0
