stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,239.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,21.03,0,0,15.77,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,147.21,0,0,0,57.83,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,6.29,0,0,31.47,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,46,0,0,0,1,0,0,7,0,0,6,25,0,0,0,0,0
 24-34,0,0,0,0.82,4.93,0,11.49,0,0,0,1.64,0,0,0,0,0,0,0.82,0,5.75,0.82,0,2.46,96.04,0,0.82,0,0,3.28,0,0,0,0.82,1.64,19.7,0,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,16.11,0,0,0,4.03,0,0,1.61,0,0,0,0.81,0,7.25,0,0.81,3.22,100.71,0,0,2.42,0,3.22,0.81,0,0.81,0.81,0,25.78,0,0,1.61,0,0
 48-58,0,0,0,0,1.72,0,24.67,0,0,0,4.59,0.57,0.57,0.57,0.57,0,0,0,0,15.49,0,0.57,0.57,97.55,0.57,1.15,0,0,2.3,0,0,0,0,0,27.54,0,0,1.15,0,0.57
 60-70,0,0,0,0,2.94,0,36.32,0,0.98,0.98,1.96,0,0,0,0,0,0,0,1.96,12.76,0,0,3.93,91.28,0,0,0.98,0,0.98,0,0,0,0,0,15.7,0,0,0,0,0
 72-82,0,0,0.98,0,2.94,0.98,25.52,0,0,1.96,10.8,0.98,0,0,0,0.98,0,0,0,22.58,0,0,0.98,66.75,0,0,0,0,2.94,0,0,0,0,0,14.72,0.98,0,0,0,0.98
 84-94,0,0,0,0,3.19,3.19,27.61,0,0,0,7.43,0,0,0,2.12,0,0,0,0,24.43,0,0,0,32.92,0,0,1.06,0,5.31,0,0,0,1.06,0,1.06,0,1.06,4.25,2.12,0
 96-106,0,0,0,0,7.65,3.28,21.86,0,1.09,0,6.56,5.46,0,0,2.19,0,0,2.19,0,20.76,0,1.09,0,41.53,0,1.09,3.28,0,9.84,0,0,0,0,0,4.37,0,0,3.28,0,1.09
108-118,0,0,0,0,4.6,3.06,14.55,0.77,1.53,0,8.43,1.53,0,0,1.53,0.77,1.53,0.77,0,12.26,0,0,1.53,56.68,0.77,1.53,3.06,0,4.6,0,0,0,0.77,0,3.06,0,0,0,0,0.77
120,0,0,0,0,11.76,0,17.64,0,1.96,0,7.84,0,0,0,0,1.96,0,1.96,0,9.8,0,0,1.96,47.03,0,0,3.92,0,5.88,0,0,1.96,0,0,1.96,0,0,1.96,0,0
