stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,237.2,4928.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,0,0,0,0,0,0,0,0,0,0,0
  5-6,263.57,3034.17,0,12.26,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,128.72,6.13,0,0,18.39,0,73.56,0,0,0,0,0,0,0,0,0,0,0
  7-9,57.83,81.49,0,136.69,0,0,0,239.21,0,0,0,0,73.6,0,0,0,0,0,0,0,0,0,0,0,2520.94,57.83,0,0,962.11,0,5.26,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,69.23,0,141.61,0,25.18,0,207.7,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,2325.61,28.32,0,0,601.07,0,3.15,9.44,3.15,81.82,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,15,153,13,0,43,0,0,26,7,0,1,0,3,0,0,0,1,62,0,0,40,1008,1,6,18,17,0,0,1,46,4,1,29,328,0,0,4,0,0
 24-34,0.82,0,0,8.21,49.25,4.1,0,227.38,0,0.82,42.68,4.93,0.82,0.82,2.46,13.95,0.82,11.49,3.28,0,157.6,4.93,0.82,55.82,2228.62,0.82,22.98,25.45,0,0,5.75,0,1.64,3.28,0,14.78,499.08,0,0,13.13,0,0.82
 36-46,0,0,0,3.22,39.48,0,0,603.45,0.81,4.03,47.53,1.61,0,1.61,4.03,4.03,3.22,14.5,1.61,1.61,219.95,2.42,5.64,64.45,2537.05,0,28.2,24.17,0,0.81,1.61,0.81,0,0,0,0,638.9,0,0.81,10.47,0,0
 48-58,0.57,0,0.57,0,23.53,0,0,617.41,1.15,7.46,63.69,0.57,2.3,1.72,4.02,5.16,0,12.62,0.57,1.15,242.15,3.44,7.46,35.58,1474.1,0.57,12.05,10.33,0,0.57,2.3,0,0.57,0,0,0,346.58,0,0.57,9.75,0,1.72
 60-70,0,0,0.98,0,26.5,0.98,0,619.34,0,0.98,71.65,6.87,2.94,2.94,8.83,3.93,0.98,17.67,2.94,0,192.38,3.93,7.85,33.37,1386.89,3.93,11.78,10.8,0,0.98,3.93,0,0,0,0,0,205.14,0,2.94,2.94,0.98,1.96
 72-82,0,0,2.94,0,34.36,9.82,0,324.93,0.98,5.89,55.95,13.74,1.96,2.94,15.71,10.8,4.91,15.71,0.98,0,200.26,3.93,9.82,23.56,899.2,0,18.65,17.67,0,0,2.94,0,0,0,0,0,117.8,5.89,2.94,13.74,3.93,0
 84-94,0,0,0,1.06,42.48,9.56,0,245.33,4.25,6.37,41.42,15.93,2.12,4.25,16.99,12.74,4.25,14.87,0,1.06,142.31,3.19,12.74,23.36,466.23,0,9.56,18.05,0,0,14.87,0,0,1.06,0,0,69.03,12.74,3.19,6.37,2.12,2.12
 96-106,0,0,0,0,45.9,8.74,1.09,148.63,1.09,4.37,45.9,13.11,0,1.09,18.58,10.93,5.46,12.02,1.09,0,138.79,8.74,3.28,15.3,398.89,2.19,17.49,21.86,0,2.19,14.21,1.09,0,2.19,0,0,26.23,24.04,4.37,5.46,5.46,2.19
108-118,0,0,0.77,0,42.13,7.66,0.77,125.62,2.3,3.06,26.04,9.96,0,0.77,13.02,13.02,3.06,10.72,1.53,1.53,94.21,2.3,4.6,15.32,481.79,0,11.49,14.55,0,0.77,9.19,0,0,1.53,0,0,25.28,32.94,0,7.66,0.77,3.06
120,0,0,0,0,35.28,15.68,0,150.9,1.96,1.96,33.32,1.96,0,1.96,25.48,7.84,1.96,3.92,1.96,0,96.03,0,3.92,11.76,456.63,1.96,13.72,11.76,0,0,9.8,0,0,0,0,0,29.4,7.84,1.96,7.84,3.92,1.96
