stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,2,0,1,7,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0.82,0,0,11.49,0,0,0.82,0,2.46,0,0,0,2.46,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,2.42,0,0,0.81,0,0,0,0,0.81,0,0,0,0,0.81,0,0,24.17,0,0.81,0,0,6.45,0,0.81,0,1.61,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,1.15,0.57,0.57,0.57,0,0.57,0,0,0,0.57,0,0,0,1.15,0,0,8.61,0.57,0,0,0,1.72,0,0.57,0,2.3,0,0,0.57,0,0.57
 60-70,0,0,0,3.93,0,0,6.87,0,0.98,6.87,0,0,0,0,0.98,0,0,0,0.98,0,0,0,19.63,0,0,0,0,4.91,0,0.98,0,1.96,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,3.93,0,0,6.87,0.98,0,0,0,0,0.98,0,0.98,0,1.96,0.98,0.98,12.76,0,0,0,0,0.98,0,0,0,0.98,0,0.98,0.98,0,0
 84-94,0,1.06,0,1.06,0,0,6.37,0,0,3.19,2.12,1.06,1.06,0,0,0,0,0,1.06,5.31,0,0,10.62,0,0,0,0,2.12,0,0,0,0,2.12,0,1.06,0,0
 96-106,0,0,0,0,3.28,0,3.28,0,1.09,4.37,1.09,0,0,1.09,0,0,0,0,0,2.19,0,0,10.93,0,1.09,3.28,0,2.19,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,1.53,0,0.77,1.53,0,0.77,3.06,3.06,0,0,0.77,2.3,0.77,0,0,0,0.77,0,0,5.36,0,2.3,0,0,3.83,0,0,0,1.53,0,0,0,0,0
120,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,3.92,3.92,0,3.92,0,0,0,0,0,13.72,0,0,0,0,3.92,0,1.96,0,1.96,0,0,0,1.96,0
