stage,blastomeres,epidermis,eye,glial,gut,immune,ionocyte,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,4.93,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0,0,2.42,0,0
 48-58,0,0,1.72,1.72,0,0,0,0,0,5.74,0,0,0,0,0,1.15,0,0
 60-70,0,0,5.89,0,0,0,0,0,0.98,4.91,0,1.96,0,0,0,0.98,0,0
 72-82,0,0,4.91,0,0,0,2.94,0,1.96,8.83,0,2.94,0,0,0,0.98,0,0.98
 84-94,0,0,1.06,1.06,0,0,3.19,0,1.06,1.06,0,0,1.06,0,0,0,0,0
 96-106,0,1.09,2.19,1.09,2.19,0,5.46,0,0,7.65,0,3.28,0,0,0,0,1.09,0
108-118,0,0,1.53,0,1.53,0.77,2.3,0.77,0,3.06,0,1.53,0,0,0.77,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0
