stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,1963.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,1489.5,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,18.39,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,28.92,0,31.54,0,0,0,55.2,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,554.66,36.8,0,0,191.9,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,0,50.35,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,352.46,15.73,0,0,169.94,0,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,10,4,0,5,0,0,3,0,0,0,0,1,0,0,0,0,6,0,0,7,64,3,0,0,1,0,1,16,0,2,21,46,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,12.31,0,0,4.1,0,0,0,0,0,0,0,0,0,7.39,0,0,5.75,118.2,0.82,1.64,0.82,0,4.1,0,0,0,0,1.64,28.73,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,17.72,1.61,1.61,3.22,0,0,0.81,0,0.81,0.81,0,0,0,10.47,0,0,1.61,136.16,0.81,0,0.81,0,0.81,0,0,0.81,0,0,32.23,0,0,0,0.81,0.81
 48-58,0,0,0,0,1.15,0,0,36.72,1.15,1.15,5.16,0.57,0,0,0,0,0.57,0,0,0,16.07,0,0,2.87,131.98,0,0.57,0,0,1.72,0,0,0,0,0,28.12,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,0.98,0,69.69,0,0.98,9.82,0.98,0,0.98,0.98,0.98,1.96,0,0.98,0,21.59,0,0,2.94,130.54,0,0.98,0.98,0,0.98,0,0,0.98,0,0,20.61,0,0.98,0,0,0.98
 72-82,0,0,0,0,0,0.98,0,58.9,0.98,2.94,6.87,0,0,0.98,0,0,0.98,0,0,0,20.61,0.98,0.98,3.93,100.13,0,0.98,0,0,1.96,0,0,0,0,0,4.91,0,0.98,1.96,0.98,0.98
 84-94,0,0,1.06,0,5.31,0,1.06,37.17,0,0,10.62,0,0,1.06,1.06,2.12,1.06,1.06,2.12,0,11.68,0,0,5.31,55.23,0,2.12,2.12,0,2.12,0,0,0,0,0,5.31,0,0,1.06,1.06,0
 96-106,0,0,0,0,5.46,1.09,0,25.14,1.09,0,4.37,1.09,0,1.09,4.37,0,2.19,2.19,2.19,1.09,6.56,0,1.09,2.19,45.9,0,2.19,2.19,0,5.46,0,0,1.09,0,0,2.19,1.09,0,2.19,1.09,1.09
108-118,0,0,1.53,0,4.6,0.77,0.77,28.34,0,0.77,3.06,1.53,0,0,0,1.53,0,0.77,0.77,0,8.43,0,1.53,3.83,60.51,0,0.77,2.3,0,2.3,0,0,0,0,0,0.77,0.77,0,0.77,0.77,0
120,0,0,0,0,9.8,0,0,25.48,0,0,1.96,0,0,0,3.92,0,3.92,1.96,0,0,19.6,1.96,0,1.96,62.71,1.96,3.92,0,0,9.8,0,0,0,0,0,3.92,0,0,5.88,1.96,1.96
