stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.72,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,0,0,31.47,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,217.14,22.03,0,0,59.79,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,5,159,45,0,10,0,1,0,2,7,0,14,0,0,0,2,0,0,55,0,0,34,63,43,0,1,1,0,0,9,2,39,39,21,0,0,10,0,0
 24-34,0,0,4.93,69.77,4.93,0,4.1,25.45,0,0.82,4.1,0.82,0,22.16,0,0,0,5.75,0,0,64.03,0.82,2.46,27.91,68.13,40.22,0,0,0,0,4.93,0.82,6.57,14.78,20.52,22.16,0,0,65.67,0,1.64
 36-46,0,0,0,27.39,0,0,7.25,33.03,0.81,0.81,27.39,0.81,0,24.17,2.42,0,0.81,9.67,1.61,0,54.79,0,5.64,17.72,54.79,20.14,0.81,0.81,0,2.42,0.81,0,2.42,3.22,0.81,22.56,0,1.61,74.12,0.81,0
 48-58,0,0,0,10.9,1.15,0,13.2,42.46,0,4.02,41.31,2.3,0,25.25,0.57,0,1.15,2.3,1.15,0,111.89,0,15.49,12.05,57.95,5.74,0.57,1.15,0,1.72,1.15,0,0.57,0.57,0,28.12,0,4.59,76.89,1.15,1.15
 60-70,0,0,0,16.69,0.98,0,9.82,19.63,3.93,3.93,44.17,8.83,0,20.61,2.94,0,2.94,5.89,3.93,0.98,232.62,0.98,26.5,9.82,38.28,12.76,0,0,0,2.94,1.96,0,0,2.94,0,15.7,0,18.65,65.76,14.72,0.98
 72-82,0,0,0,10.8,1.96,0,22.58,16.69,0,10.8,75.59,8.83,0,33.38,0,0.98,0.98,2.94,15.71,0,330.82,0,37.3,21.6,55.95,0.98,1.96,0.98,0,5.89,0,0,1.96,1.96,0,16.69,0.98,21.6,103.07,61.84,0.98
 84-94,0,0,0,14.87,0,1.06,36.11,11.68,1.06,3.19,45.67,24.43,0,19.12,0,1.06,2.12,6.37,26.55,2.12,208.16,1.06,44.61,16.99,43.54,1.06,1.06,2.12,0,1.06,7.43,0,1.06,2.12,0,14.87,0,25.49,99.83,59.47,0
 96-106,0,0,0,7.65,6.56,1.09,19.67,18.58,3.28,5.46,24.04,12.02,0,40.44,1.09,0,1.09,5.46,25.14,0,185.78,0,22.95,14.21,39.34,2.19,0,5.46,0,5.46,3.28,0,3.28,2.19,0,10.93,0,21.86,100.54,80.87,0
108-118,0,0,0,16.09,0.77,0.77,17.62,13.02,2.3,0,30.64,13.79,0,15.32,0.77,0,3.83,2.3,56.68,0,156.26,0,17.62,14.55,38.3,6.13,0.77,1.53,0,7.66,0.77,0,0.77,6.89,0,3.06,0,15.32,57.45,34.47,0
120,0,0,0,13.72,3.92,0,13.72,17.64,0,0,27.44,9.8,0,15.68,5.88,0,0,0,70.55,0,97.99,0,17.64,15.68,33.32,3.92,0,3.92,0,3.92,0,0,1.96,3.92,0,3.92,0,19.6,64.67,45.08,0
