stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,3,2,3,0,0,0,0,1,0,2,0,0,0,0,3,0,0,3,6,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0
 24-34,0,0,0.82,0,2.46,0.82,0.82,0.82,0,0,0.82,0,0.82,22.16,0,0,0,0,3.28,0,0,2.46,14.78,2.46,2.46,0,0,0,3.28,0,0.82,0,3.28,0,0,2.46,0,2.46
 36-46,0,0,0,0,0.81,0,3.22,0,0,0,1.61,0,2.42,23.36,0,0,0.81,0,6.45,0,0.81,1.61,21.75,1.61,0.81,0,0,0,1.61,0,0,0,9.67,0,0,0.81,0,4.83
 48-58,0,0,0,0,1.15,0.57,8.61,0,0.57,0,3.44,0,0,25.82,0,0,0,0,4.59,0.57,0,1.15,18.94,0.57,0,0,0,0,1.15,0,0,0,6.89,0,0,0.57,0,2.87
 60-70,0,0,0,0,1.96,0,6.87,0,0.98,0,0.98,1.96,0,31.41,0,0,0,0,6.87,0,0,0,22.58,0,0,0,0,0.98,0,0,0.98,0,3.93,0,0.98,1.96,0,0
 72-82,0,0,1.96,0,2.94,0,5.89,0,0,0,4.91,0.98,0,62.83,0,0,0,0,12.76,0,0.98,1.96,16.69,0,0,0,0,0,0.98,0,0.98,0,0.98,0,0.98,0.98,0,0
 84-94,0,0,0,0,1.06,0,4.25,0,0,0,1.06,2.12,1.06,71.16,0,0,0,0,6.37,0,0,0,9.56,0,1.06,0,0,1.06,1.06,0,0,0,0,0,0,4.25,0,1.06
 96-106,0,0,0,0,9.84,1.09,7.65,0,0,0,1.09,3.28,1.09,74.31,1.09,1.09,0,1.09,10.93,0,0,1.09,9.84,0,1.09,0,0,1.09,0,0,0,0,1.09,0,0,0,0,1.09
108-118,0,0,0,0,5.36,0,6.89,0,1.53,0,2.3,3.06,0,72,0,0,0,0,3.06,0,0,1.53,6.89,0.77,0,1.53,0,0,0.77,0,0,0,0,0,0,2.3,0.77,0
120,0,0,0,0,9.8,1.96,3.92,0,0,1.96,1.96,3.92,0,135.23,0,0,0,0,3.92,0,0,0,9.8,0,0,0,0,0,0,0,1.96,0,1.96,1.96,1.96,1.96,0,0
