stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,13.14,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,63.09,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,100.7,6.29,0,0,28.32,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,6,3,13,0,0,0,2,0,0,0,0,0,5,0,8,127,3,0,1,3,0,2,12,1,1,8,37,0,0,0,0,0
 24-34,0,0,0,2.46,0,17.24,0,0,0,3.28,0,0,0,0,0,15.6,0,5.75,114.1,0.82,0,1.64,0,0,3.28,0,0,0,4.1,17.24,0,0,1.64,0,0
 36-46,0,0,0,0,0,24.98,0,0,0,2.42,0,0,0,0,0,4.83,0.81,3.22,60.43,0,0.81,0.81,0,0,4.83,0,0,0,0,13.7,0,0,4.03,0,0.81
 48-58,0,0,0,2.87,0,22.38,0.57,0,1.15,3.44,0,0,0,0,0,14.35,0,1.15,26.97,0,0,0,0,0,2.3,0,0,0,0,4.59,0,0,0,0,0
 60-70,0,0,0,0.98,0,19.63,0.98,0,1.96,3.93,0.98,0,0,0,0,4.91,0,0.98,23.56,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0.98,0,6.87,0,0,0.98,5.89,0,0,0.98,0,0.98,18.65,0.98,0,27.49,0,0,0,0,0,2.94,0,0.98,0,0,2.94,0.98,0.98,2.94,0,0
 84-94,0,0,0,1.06,0,10.62,0,0,0,2.12,1.06,0,0,0,0,7.43,0,1.06,6.37,1.06,0,0,0,0,1.06,0,0,0,0,1.06,0,0,3.19,1.06,0
 96-106,0,0,0,0,0,3.28,0,0,0,1.09,1.09,0,1.09,1.09,0,8.74,1.09,3.28,5.46,0,0,0,0,0,2.19,0,0,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0.77,0,0.77,3.83,0,0,0,3.83,0,0.77,0,0,0,3.06,0.77,2.3,9.19,0,0.77,0.77,0,0,4.6,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,7.84,0,3.92,0,5.88,0,0,1.96,0,0,1.96,0,1.96,25.48,0,1.96,0,0,1.96,1.96,0,0,0,0,1.96,0,0,0,0,0
